Mpha_RNA1086_R9	gene_0
Mpha_RNA6828_R5	gene_3809
Mpha_RNA9847_R6	gene_3809
Sinv_RNA17036_R6	gene_3809
Sinv_RNA20282_R5	gene_3809
Lhum_RNA3690_R7	gene_3809
Mpha_RNA3965_R0	gene_3810
Mpha_RNA3968_R0	gene_3811
Mpha_RNA3967_R0	gene_3811
Mpha_RNA3969_R0	gene_3811
Amel_RNA18180_R0	gene_3811
Aech_RNA11057_R0	gene_3811
Mpha_RNA3966_R0	gene_3812
Sinv_RNA22015_R2	gene_3813
Aech_RNA7614_R6	gene_3814
Mpha_RNA3971_R0	gene_3815
Lhum_RNA5676_R0	gene_3815
Sinv_RNA22247_R2	gene_3816
Lhum_RNA7473_R5	gene_3817
Nvit_RNA6005_R3	gene_3818
Mpha_RNA3973_R0	gene_3819
Aech_RNA5129_R0	gene_3820
Mpha_RNA3974_R0	gene_3821
Sinv_RNA13208_R1	gene_3822
Mpha_RNA3975_R0	gene_3823
Lhum_RNA6974_R3	gene_3824
Lhum_RNA370_R9	gene_3825
Mpha_RNA3977_R0	gene_3826
Sinv_RNA4986_R0	gene_3827
Mpha_RNA3979_R0	gene_3828
Mpha_RNA3980_R0	gene_3829
Mpha_RNA3981_R0	gene_3830
Lhum_RNA608_R5	gene_3831
Lhum_RNA123_R2	gene_3832
Sinv_RNA15165_R0	gene_3833
Mpha_RNA3984_R0	gene_3834
Mpha_RNA3989_R0	gene_3835
Mpha_RNA3990_R0	gene_3836
Lhum_RNA20694_R0	gene_3836
Mpha_RNA3992_R0	gene_3837
Mpha_RNA3991_R0	gene_3837
Sinv_RNA17032_R8	gene_3837
Mpha_RNA3995_R0	gene_3838
Lhum_RNA14886_R8	gene_3839
Mpha_RNA3847_R6	gene_3839
Mpha_RNA9067_R1	gene_3840
Aech_RNA3617_R6	gene_3841
Cbir_RNA6921_R2	gene_3842
Cbir_RNA1640_R5	gene_3843
Mpha_RNA19809_R5	gene_3844
Cbir_RNA23465_R5	gene_3845
Cbir_RNA25420_R9	gene_3846
Mpha_RNA4000_R0	gene_3847
Mpha_RNA4003_R0	gene_3848
Sinv_RNA14191_R0	gene_3848
Sinv_RNA21675_R6	gene_3849
Sinv_RNA11131_R5	gene_3850
Cbir_RNA2502_R8	gene_3851
Mpha_RNA4006_R0	gene_3852
Sinv_RNA1693_R0	gene_3852
Dmel_RNA18690_R0	gene_3852
Dmel_RNA2822_R0	gene_3852
Dmel_RNA18684_R0	gene_3852
Mpha_RNA4011_R0	gene_3853
Dmel_RNA2054_R0	gene_3853
Sinv_RNA21502_R0	gene_3854
Mpha_RNA4014_R0	gene_3855
Lhum_RNA13971_R2	gene_3855
Mpha_RNA18336_R7	gene_3855
Mpha_RNA4015_R0	gene_3856
Sinv_RNA5261_R1	gene_3856
Cbir_RNA2354_R5	gene_3857
Mpha_RNA4016_R0	gene_3858
Mpha_RNA2762_R2	gene_3859
Mpha_RNA4018_R0	gene_3860
Mpha_RNA4019_R0	gene_3861
Cbir_RNA10531_R0	gene_3861
Sinv_RNA20475_R0	gene_3861
Aech_RNA6244_R0	gene_3862
Dqua_RNA5120_R1	gene_3862
Mpha_RNA4022_R0	gene_3863
Mpha_RNA4028_R0	gene_3864
Amel_RNA18363_R0	gene_3864
Mpha_RNA4029_R0	gene_3865
Aech_RNA3716_R0	gene_3865
Dmel_RNA19860_R1	gene_3865
Mpha_RNA2098_R4	gene_3866
Cbir_RNA24802_R0	gene_3867
Lhum_RNA17021_R2	gene_3868
Sinv_RNA4918_R6	gene_3869
Lhum_RNA6955_R4	gene_3870
Lhum_RNA723_R2	gene_3871
Nvit_RNA11369_R6	gene_3872
Sinv_RNA21686_R1	gene_3873
Mpha_RNA4031_R0	gene_3874
Sinv_RNA12794_R1	gene_3875
Lhum_RNA21677_R0	gene_3876
Lhum_RNA2579_R2	gene_3877
Mpha_RNA4035_R0	gene_3878
Nvit_RNA25979_R0	gene_3878
Mpha_RNA4037_R0	gene_3879
Dmel_RNA18021_R0	gene_3879
Mpha_RNA4042_R0	gene_3880
Mpha_RNA4043_R0	gene_3881
Mpha_RNA4048_R0	gene_3882
Mpha_RNA4050_R0	gene_3883
Mpha_RNA4052_R0	gene_3884
Nvit_RNA24637_R0	gene_3884
Aech_RNA7725_R0	gene_3885
Mpha_RNA4060_R0	gene_3886
Mpha_RNA19621_R5	gene_3886
Mpha_RNA4036_R0	gene_3887
Lhum_RNA8384_R0	gene_3888
Mpha_RNA4040_R0	gene_3888
Mpha_RNA4045_R0	gene_3889
Lhum_RNA8391_R0	gene_3889
Sinv_RNA19427_R0	gene_3889
Mpha_RNA4047_R0	gene_3890
Aech_RNA7713_R0	gene_3890
Mpha_RNA4051_R0	gene_3891
Mpha_RNA4054_R0	gene_3892
Cbir_RNA25106_R0	gene_3892
Mpha_RNA4055_R0	gene_3893
Lhum_RNA8401_R0	gene_3893
Mpha_RNA4057_R0	gene_3894
Mpha_RNA4061_R0	gene_3895
Sinv_RNA6315_R0	gene_3896
Dqua_RNA5450_R0	gene_3896
Mpha_RNA4062_R0	gene_3897
Mpha_RNA4065_R0	gene_3898
Mpha_RNA4067_R0	gene_3899
Mpha_RNA4066_R0	gene_3899
Mpha_RNA4070_R0	gene_3900
Lhum_RNA3488_R1	gene_3901
Mpha_RNA4071_R0	gene_3902
Mpha_RNA4082_R0	gene_3902
Mpha_RNA4078_R0	gene_3902
Sinv_RNA10731_R0	gene_3902
Mpha_RNA4073_R0	gene_3902
Sinv_RNA10732_R0	gene_3902
Nvit_RNA11703_R0	gene_3902
Dmel_RNA17413_R0	gene_3902
Mpha_RNA4085_R0	gene_3903
Lhum_RNA3201_R0	gene_3903
Mpha_RNA6431_R1	gene_3904
Nvit_RNA25612_R6	gene_3905
Dqua_RNA14710_R2	gene_3906
Nvit_RNA19442_R0	gene_3907
Mpha_RNA4088_R0	gene_3908
Mpha_RNA3041_R1	gene_3909
Aech_RNA16183_R0	gene_3910
Mpha_RNA6072_R1	gene_3911
Sinv_RNA10359_R2	gene_3912
Sinv_RNA13804_R1	gene_3913
Dqua_RNA10058_R0	gene_3914
Dqua_RNA10875_R6	gene_3915
Mpha_RNA6871_R7	gene_3916
Mpha_RNA4093_R0	gene_3917
Dmel_RNA11643_R2	gene_3917
Mpha_RNA4094_R0	gene_3918
Amel_RNA9708_R0	gene_3918
Mpha_RNA4096_R0	gene_3919
Dqua_RNA22014_R0	gene_3920
Mpha_RNA4098_R0	gene_3921
Mpha_RNA4099_R0	gene_3921
Dqua_RNA7751_R0	gene_3921
Mpha_RNA4097_R0	gene_3922
Sinv_RNA2401_R0	gene_3923
Nvit_RNA25563_R0	gene_3923
Mpha_RNA4102_R0	gene_3924
Mpha_RNA4101_R0	gene_3925
Mpha_RNA4103_R0	gene_3926
Mpha_RNA4104_R0	gene_3927
Mpha_RNA1979_R4	gene_3928
Sinv_RNA22194_R5	gene_3929
Mpha_RNA4106_R0	gene_3930
Sinv_RNA20374_R0	gene_3931
Sinv_RNA20501_R0	gene_3932
Sinv_RNA20500_R0	gene_3933
Sinv_RNA21257_R0	gene_3934
Mpha_RNA4108_R0	gene_3935
Cbir_RNA14126_R2	gene_3936
Sinv_RNA19114_R0	gene_3937
Cbir_RNA23546_R0	gene_3937
Nvit_RNA17374_R4	gene_3938
Mpha_RNA4112_R0	gene_3939
Mpha_RNA4115_R0	gene_3940
Cbir_RNA4494_R0	gene_3940
Mpha_RNA3204_R6	gene_3941
Mpha_RNA4116_R0	gene_3942
Mpha_RNA4117_R0	gene_3943
Mpha_RNA4124_R0	gene_3944
Mpha_RNA4131_R0	gene_3945
Mpha_RNA4134_R0	gene_3946
Mpha_RNA4135_R0	gene_3947
Mpha_RNA4138_R0	gene_3948
Mpha_RNA4118_R0	gene_3949
Mpha_RNA4119_R0	gene_3949
Sinv_RNA5038_R0	gene_3949
Mpha_RNA4129_R0	gene_3950
Cbir_RNA15908_R0	gene_3950
Mpha_RNA4130_R0	gene_3951
Mpha_RNA4132_R0	gene_3952
Dmel_RNA33387_R0	gene_3952
Mpha_RNA4136_R0	gene_3953
Mpha_RNA4137_R0	gene_3954
Mpha_RNA4140_R0	gene_3955
Mpha_RNA4141_R0	gene_3956
Mpha_RNA4142_R0	gene_3956
Lhum_RNA21958_R0	gene_3957
Mpha_RNA4145_R0	gene_3958
Mpha_RNA4146_R0	gene_3959
Aech_RNA19866_R0	gene_3960
Mpha_RNA4151_R0	gene_3961
Mpha_RNA4152_R0	gene_3962
Mpha_RNA4157_R0	gene_3963
Nvit_RNA20410_R0	gene_3963
Mpha_RNA4159_R0	gene_3964
Aech_RNA17493_R0	gene_3964
Dmel_RNA5034_R0	gene_3964
Mpha_RNA4156_R0	gene_3965
Mpha_RNA4158_R0	gene_3966
Sinv_RNA20578_R0	gene_3967
Aech_RNA13626_R0	gene_3968
Mpha_RNA4161_R0	gene_3969
Mpha_RNA4162_R0	gene_3970
Aech_RNA13184_R0	gene_3970
Nvit_RNA22255_R1	gene_3971
Mpha_RNA4164_R0	gene_3972
Mpha_RNA4166_R0	gene_3973
Mpha_RNA4165_R0	gene_3973
Amel_RNA11353_R0	gene_3973
Mpha_RNA4168_R0	gene_3974
Mpha_RNA4167_R0	gene_3975
Amel_RNA20065_R0	gene_3975
Lhum_RNA711_R6	gene_3976
Cbir_RNA156_R1	gene_3977
Sinv_RNA21116_R0	gene_3978
Mpha_RNA4173_R0	gene_3979
Dmel_RNA11739_R0	gene_3980
Mpha_RNA4175_R0	gene_3981
Nvit_RNA5614_R0	gene_3982
Sinv_RNA19932_R0	gene_3983
Sinv_RNA19931_R0	gene_3983
Amel_RNA238_R0	gene_3983
Mpha_RNA4177_R0	gene_3984
Mpha_RNA4178_R0	gene_3985
Dmel_RNA11667_R0	gene_3985
Aech_RNA20479_R0	gene_3986
Dmel_RNA22363_R0	gene_3986
Sinv_RNA18986_R0	gene_3987
Sinv_RNA3369_R1	gene_3988
Sinv_RNA4979_R3	gene_3989
Mpha_RNA4185_R0	gene_3990
Mpha_RNA4187_R0	gene_3991
Mpha_RNA4186_R0	gene_3991
Mpha_RNA4188_R0	gene_3992
Amel_RNA17055_R0	gene_3993
Sinv_RNA3850_R2	gene_3994
Mpha_RNA3441_R3	gene_3995
Cbir_RNA22124_R4	gene_3996
Mpha_RNA4189_R0	gene_3997
Aech_RNA15529_R0	gene_3998
Mpha_RNA4192_R0	gene_3999
Mpha_RNA4191_R0	gene_3999
Aech_RNA17159_R0	gene_3999
Cbir_RNA2879_R0	gene_3999
Mpha_RNA4194_R0	gene_4000
Mpha_RNA1519_R9	gene_4001
Sinv_RNA11568_R5	gene_4002
Cbir_RNA6288_R0	gene_4003
Mpha_RNA4198_R0	gene_4004
Amel_RNA19838_R0	gene_4004
Mpha_RNA4199_R0	gene_4005
Amel_RNA27548_R5	gene_4006
Mpha_RNA4200_R0	gene_4007
Mpha_RNA4204_R0	gene_4008
Sinv_RNA1613_R0	gene_4008
Nvit_RNA11487_R0	gene_4009
Mpha_RNA4205_R0	gene_4010
Lhum_RNA5623_R1	gene_4010
Mpha_RNA4207_R0	gene_4011
Mpha_RNA4206_R0	gene_4012
Mpha_RNA4209_R0	gene_4013
Sinv_RNA7399_R2	gene_4014
Mpha_RNA4212_R0	gene_4015
Dqua_RNA18044_R0	gene_4016
Mpha_RNA3154_R7	gene_4017
Mpha_RNA4217_R0	gene_4018
Dmel_RNA14552_R0	gene_4018
Mpha_RNA4223_R0	gene_4019
Mpha_RNA4224_R0	gene_4019
Dmel_RNA15917_R1	gene_4019
Mpha_RNA4216_R0	gene_4020
Mpha_RNA4218_R0	gene_4021
Amel_RNA24543_R0	gene_4021
Mpha_RNA4219_R0	gene_4022
Dqua_RNA13532_R0	gene_4022
Mpha_RNA4220_R0	gene_4023
Sinv_RNA8869_R0	gene_4023
Mpha_RNA4225_R0	gene_4024
Sinv_RNA19055_R2	gene_4025
Sinv_RNA22001_R8	gene_4026
Cbir_RNA3183_R0	gene_4027
Mpha_RNA4229_R0	gene_4028
Mpha_RNA4230_R0	gene_4029
Mpha_RNA4231_R0	gene_4030
Mpha_RNA4232_R0	gene_4031
Mpha_RNA7038_R1	gene_4032
Nvit_RNA25707_R1	gene_4033
Mpha_RNA4671_R3	gene_4034
Mpha_RNA4235_R0	gene_4035
Aech_RNA134_R0	gene_4035
Nvit_RNA18670_R0	gene_4035
Cbir_RNA23573_R0	gene_4036
Mpha_RNA4245_R0	gene_4037
Mpha_RNA4247_R0	gene_4038
Mpha_RNA4248_R0	gene_4039
Sinv_RNA850_R0	gene_4039
Lhum_RNA19219_R0	gene_4039
Mpha_RNA4249_R0	gene_4040
Mpha_RNA4238_R0	gene_4041
Mpha_RNA4240_R0	gene_4042
Mpha_RNA4242_R0	gene_4043
Mpha_RNA1970_R2	gene_4044
Mpha_RNA4250_R0	gene_4045
Mpha_RNA4257_R0	gene_4046
Mpha_RNA4258_R0	gene_4047
Dmel_RNA2142_R0	gene_4047
Mpha_RNA4260_R0	gene_4048
Mpha_RNA4267_R0	gene_4049
Mpha_RNA4269_R0	gene_4050
Mpha_RNA4270_R0	gene_4051
Cbir_RNA1891_R2	gene_4052
Cbir_RNA25513_R7	gene_4053
Sinv_RNA9668_R0	gene_4054
Mpha_RNA4272_R0	gene_4055
Sinv_RNA18477_R0	gene_4055
Sinv_RNA11087_R0	gene_4055
Nvit_RNA1032_R3	gene_4055
Dqua_RNA23457_R1	gene_4055
Nvit_RNA21129_R0	gene_4055
Dmel_RNA19129_R4	gene_4055
Nvit_RNA9023_R5	gene_4055
Sinv_RNA17662_R2	gene_4056
Mpha_RNA4273_R0	gene_4057
Mpha_RNA4275_R0	gene_4058
Sinv_RNA19035_R0	gene_4058
Nvit_RNA18000_R6	gene_4059
Mpha_RNA4277_R0	gene_4060
Mpha_RNA4281_R0	gene_4061
Mpha_RNA4284_R0	gene_4062
Mpha_RNA4280_R0	gene_4063
Cbir_RNA20017_R0	gene_4063
Dqua_RNA11383_R0	gene_4063
Mpha_RNA4282_R0	gene_4064
Mpha_RNA4287_R0	gene_4065
Dmel_RNA8209_R0	gene_4065
Sinv_RNA20036_R6	gene_4066
Lhum_RNA1035_R1	gene_4067
Aech_RNA7592_R6	gene_4068
Mpha_RNA4288_R0	gene_4069
Lhum_RNA17275_R0	gene_4069
Sinv_RNA13777_R0	gene_4069
Lhum_RNA17268_R3	gene_4069
Sinv_RNA6279_R0	gene_4069
Mpha_RNA4293_R0	gene_4070
Sinv_RNA14182_R0	gene_4070
Sinv_RNA9460_R3	gene_4071
Mpha_RNA4298_R0	gene_4072
Mpha_RNA4299_R0	gene_4073
Mpha_RNA4300_R0	gene_4074
Cbir_RNA11688_R0	gene_4074
Mpha_RNA4301_R0	gene_4075
Sinv_RNA6409_R0	gene_4075
Sinv_RNA12707_R1	gene_4075
Sinv_RNA6410_R0	gene_4076
Mpha_RNA4302_R0	gene_4077
Mpha_RNA4304_R0	gene_4078
Mpha_RNA4303_R0	gene_4079
Sinv_RNA10371_R0	gene_4079
Lhum_RNA1279_R0	gene_4079
Aech_RNA11289_R0	gene_4079
Mpha_RNA4305_R0	gene_4080
Mpha_RNA15988_R1	gene_4081
Mpha_RNA3199_R1	gene_4081
Lhum_RNA1570_R3	gene_4081
Mpha_RNA4309_R0	gene_4082
Mpha_RNA4310_R0	gene_4083
Dqua_RNA22786_R6	gene_4084
Mpha_RNA7039_R3	gene_4085
Mpha_RNA4316_R0	gene_4086
Mpha_RNA4315_R0	gene_4086
Mpha_RNA4314_R0	gene_4086
Sinv_RNA20463_R0	gene_4086
Mpha_RNA4317_R0	gene_4087
Sinv_RNA13713_R0	gene_4087
Mpha_RNA4318_R0	gene_4088
Mpha_RNA4319_R0	gene_4089
Amel_RNA13641_R1	gene_4089
Mpha_RNA4320_R0	gene_4090
Mpha_RNA4321_R0	gene_4091
Mpha_RNA4322_R0	gene_4092
Mpha_RNA4324_R0	gene_4093
Sinv_RNA14431_R0	gene_4093
Dmel_RNA1132_R0	gene_4093
Cbir_RNA10625_R0	gene_4093
Cbir_RNA2354_R1	gene_4094
Mpha_RNA4326_R0	gene_4095
Cbir_RNA1174_R2	gene_4096
Mpha_RNA4328_R0	gene_4097
Mpha_RNA4330_R0	gene_4098
Mpha_RNA4332_R0	gene_4099
Mpha_RNA4334_R0	gene_4100
Cbir_RNA11521_R0	gene_4100
Mpha_RNA4336_R0	gene_4101
Mpha_RNA4331_R0	gene_4102
Mpha_RNA4338_R0	gene_4103
Mpha_RNA4340_R0	gene_4104
Amel_RNA6850_R0	gene_4104
Mpha_RNA4339_R0	gene_4105
Mpha_RNA4341_R0	gene_4106
Mpha_RNA4342_R0	gene_4106
Mpha_RNA4347_R0	gene_4107
Mpha_RNA4350_R0	gene_4108
Lhum_RNA5841_R0	gene_4109
Mpha_RNA4344_R0	gene_4109
Aech_RNA16629_R0	gene_4109
Mpha_RNA4349_R0	gene_4110
Mpha_RNA4348_R0	gene_4110
Amel_RNA26746_R0	gene_4110
Mpha_RNA4351_R0	gene_4111
Dqua_RNA13000_R0	gene_4111
Mpha_RNA4352_R0	gene_4112
Mpha_RNA4355_R0	gene_4113
Sinv_RNA17716_R0	gene_4114
Sinv_RNA21137_R1	gene_4115
Mpha_RNA19900_R2	gene_4116
Mpha_RNA4356_R0	gene_4117
Dqua_RNA14891_R0	gene_4117
Sinv_RNA18363_R0	gene_4117
Sinv_RNA13208_R4	gene_4118
Cbir_RNA23624_R0	gene_4119
Mpha_RNA4363_R0	gene_4120
Mpha_RNA4365_R0	gene_4120
Mpha_RNA4367_R0	gene_4121
Mpha_RNA4368_R0	gene_4122
Mpha_RNA4369_R0	gene_4123
Lhum_RNA13210_R1	gene_4124
Mpha_RNA466_R7	gene_4125
Mpha_RNA4371_R0	gene_4126
Amel_RNA27706_R0	gene_4127
Sinv_RNA17568_R0	gene_4128
Mpha_RNA4378_R0	gene_4129
Cbir_RNA14769_R2	gene_4129
Mpha_RNA4373_R0	gene_4130
Lhum_RNA4283_R0	gene_4130
Lhum_RNA110_R0	gene_4130
Cbir_RNA14769_R1	gene_4130
Mpha_RNA4381_R0	gene_4131
Amel_RNA23961_R0	gene_4131
Mpha_RNA4383_R0	gene_4132
Cbir_RNA23431_R1	gene_4133
Mpha_RNA4385_R0	gene_4134
Mpha_RNA4387_R0	gene_4135
Cbir_RNA14769_R0	gene_4135
Sinv_RNA425_R1	gene_4135
Mpha_RNA4395_R0	gene_4136
Sinv_RNA12511_R2	gene_4136
Mpha_RNA4391_R0	gene_4137
Mpha_RNA10876_R6	gene_4137
Mpha_RNA4392_R0	gene_4138
Sinv_RNA12961_R2	gene_4138
Mpha_RNA4396_R0	gene_4139
Mpha_RNA4397_R0	gene_4139
Sinv_RNA12961_R1	gene_4139
Mpha_RNA4388_R0	gene_4140
Mpha_RNA4400_R0	gene_4141
Mpha_RNA4398_R0	gene_4142
Mpha_RNA4401_R0	gene_4143
Mpha_RNA4405_R0	gene_4144
Mpha_RNA4406_R0	gene_4145
Mpha_RNA4408_R0	gene_4146
Mpha_RNA4427_R0	gene_4147
Mpha_RNA4428_R0	gene_4148
Mpha_RNA4417_R0	gene_4149
Mpha_RNA4418_R0	gene_4150
Sinv_RNA7060_R0	gene_4151
Amel_RNA28485_R0	gene_4151
Mpha_RNA4424_R0	gene_4152
Sinv_RNA6479_R0	gene_4152
Mpha_RNA4432_R0	gene_4153
Mpha_RNA4431_R0	gene_4153
Mpha_RNA4433_R0	gene_4153
Mpha_RNA4430_R0	gene_4153
Sinv_RNA7050_R0	gene_4153
Aech_RNA9644_R0	gene_4153
Cbir_RNA16676_R0	gene_4153
Dqua_RNA21819_R0	gene_4153
Lhum_RNA6962_R4	gene_4154
Sinv_RNA21575_R3	gene_4155
Lhum_RNA20673_R9	gene_4156
Sinv_RNA18918_R5	gene_4157
Mpha_RNA4437_R0	gene_4158
Aech_RNA12276_R0	gene_4158
Mpha_RNA4440_R0	gene_4159
Mpha_RNA4445_R0	gene_4160
Mpha_RNA4448_R0	gene_4161
Nvit_RNA136_R0	gene_4161
Mpha_RNA4457_R0	gene_4162
Mpha_RNA4461_R0	gene_4163
Mpha_RNA4451_R0	gene_4164
Mpha_RNA4463_R0	gene_4165
Sinv_RNA13105_R0	gene_4165
Mpha_RNA4462_R0	gene_4165
Mpha_RNA4468_R0	gene_4166
Mpha_RNA4469_R0	gene_4166
Sinv_RNA10913_R0	gene_4166
Aech_RNA18036_R0	gene_4166
Aech_RNA18038_R0	gene_4166
Sinv_RNA10914_R0	gene_4166
Aech_RNA18041_R0	gene_4166
Aech_RNA18043_R0	gene_4166
Lhum_RNA1119_R0	gene_4166
Dqua_RNA22820_R0	gene_4166
Lhum_RNA1123_R0	gene_4166
Amel_RNA13254_R0	gene_4166
Nvit_RNA3044_R0	gene_4166
Mpha_RNA4475_R0	gene_4167
Dmel_RNA25274_R0	gene_4167
Nvit_RNA13728_R2	gene_4167
Lhum_RNA1299_R2	gene_4167
Mpha_RNA4474_R0	gene_4168
Mpha_RNA4476_R0	gene_4169
Sinv_RNA21148_R1	gene_4170
Mpha_RNA4477_R0	gene_4171
Dqua_RNA23112_R0	gene_4172
Sinv_RNA21590_R5	gene_4173
Mpha_RNA4479_R0	gene_4174
Mpha_RNA4481_R0	gene_4175
Mpha_RNA15785_R1	gene_4175
Cbir_RNA15786_R0	gene_4176
Mpha_RNA4483_R0	gene_4177
Mpha_RNA4484_R0	gene_4178
Mpha_RNA4486_R0	gene_4179
Mpha_RNA4489_R0	gene_4180
Mpha_RNA4492_R0	gene_4181
Mpha_RNA4493_R0	gene_4181
Amel_RNA20345_R0	gene_4181
Amel_RNA20346_R0	gene_4181
Dmel_RNA26690_R0	gene_4181
Mpha_RNA4491_R0	gene_4182
Mpha_RNA4495_R0	gene_4183
Lhum_RNA16985_R0	gene_4183
Mpha_RNA4497_R0	gene_4184
Cbir_RNA25478_R0	gene_4184
Mpha_RNA4498_R0	gene_4185
Mpha_RNA4499_R0	gene_4186
Mpha_RNA4502_R0	gene_4187
Aech_RNA16724_R1	gene_4188
Mpha_RNA4504_R0	gene_4189
Dmel_RNA30060_R0	gene_4190
Mpha_RNA4505_R0	gene_4191
Mpha_RNA4508_R0	gene_4192
Sinv_RNA4584_R0	gene_4192
Dmel_RNA7367_R0	gene_4192
Nvit_RNA21556_R0	gene_4192
Mpha_RNA4509_R0	gene_4193
Amel_RNA12568_R5	gene_4193
Mpha_RNA4514_R0	gene_4194
Cbir_RNA22199_R0	gene_4194
Mpha_RNA4510_R0	gene_4195
Mpha_RNA4512_R0	gene_4196
Sinv_RNA15186_R0	gene_4196
Amel_RNA15669_R0	gene_4196
Mpha_RNA4513_R0	gene_4197
Dmel_RNA1631_R0	gene_4197
Sinv_RNA21113_R0	gene_4197
Mpha_RNA4516_R0	gene_4198
Aech_RNA14453_R0	gene_4198
Sinv_RNA1440_R0	gene_4198
Mpha_RNA4517_R0	gene_4199
Lhum_RNA6618_R0	gene_4200
Dqua_RNA3742_R0	gene_4201
Sinv_RNA18047_R2	gene_4202
Mpha_RNA4522_R0	gene_4203
Dqua_RNA7274_R0	gene_4203
Mpha_RNA4524_R0	gene_4204
Sinv_RNA1857_R0	gene_4205
Mpha_RNA4530_R0	gene_4206
Aech_RNA6950_R0	gene_4206
Mpha_RNA4523_R0	gene_4207
Mpha_RNA4525_R0	gene_4208
Mpha_RNA4529_R0	gene_4209
Aech_RNA4967_R2	gene_4210
Cbir_RNA6444_R7	gene_4211
Lhum_RNA15593_R1	gene_4212
Cbir_RNA25331_R4	gene_4213
Sinv_RNA9567_R0	gene_4214
Mpha_RNA4536_R0	gene_4215
Mpha_RNA4535_R0	gene_4216
Mpha_RNA4538_R0	gene_4217
Mpha_RNA4540_R0	gene_4218
Mpha_RNA4539_R0	gene_4218
Lhum_RNA4974_R0	gene_4219
Lhum_RNA870_R1	gene_4220
Mpha_RNA4541_R0	gene_4221
Lhum_RNA1546_R7	gene_4222
Mpha_RNA16067_R1	gene_4223
Mpha_RNA21072_R8	gene_4223
Sinv_RNA18631_R2	gene_4224
Sinv_RNA22018_R0	gene_4225
Lhum_RNA15678_R1	gene_4226
Mpha_RNA15995_R1	gene_4227
Dqua_RNA4322_R1	gene_4228
Mpha_RNA4544_R0	gene_4229
Mpha_RNA4545_R0	gene_4230
Mpha_RNA4546_R0	gene_4230
Mpha_RNA4552_R0	gene_4231
Mpha_RNA4554_R0	gene_4232
Aech_RNA16144_R0	gene_4232
Sinv_RNA2795_R0	gene_4233
Mpha_RNA4558_R0	gene_4234
Mpha_RNA4561_R0	gene_4235
Cbir_RNA18166_R3	gene_4235
Cbir_RNA23014_R2	gene_4235
Mpha_RNA4564_R0	gene_4236
Mpha_RNA4550_R0	gene_4237
Mpha_RNA4549_R0	gene_4237
Aech_RNA13035_R0	gene_4237
Aech_RNA13036_R0	gene_4237
Mpha_RNA4547_R0	gene_4237
Aech_RNA13037_R0	gene_4237
Mpha_RNA4553_R0	gene_4238
Dqua_RNA19852_R0	gene_4238
Nvit_RNA15815_R0	gene_4238
Nvit_RNA15817_R0	gene_4238
Mpha_RNA4556_R0	gene_4239
Nvit_RNA8300_R0	gene_4239
Sinv_RNA1730_R0	gene_4240
Mpha_RNA4565_R0	gene_4241
Mpha_RNA4568_R0	gene_4242
Aech_RNA17291_R0	gene_4243
Cbir_RNA2828_R0	gene_4244
Sinv_RNA16441_R6	gene_4245
Mpha_RNA6170_R5	gene_4246
Mpha_RNA4570_R0	gene_4247
Mpha_RNA4571_R0	gene_4247
Mpha_RNA4572_R0	gene_4248
Sinv_RNA3369_R0	gene_4249
Sinv_RNA9737_R1	gene_4250
Mpha_RNA4574_R0	gene_4251
Mpha_RNA14020_R2	gene_4252
Mpha_RNA4575_R0	gene_4253
Cbir_RNA13866_R0	gene_4254
Mpha_RNA4577_R0	gene_4255
Mpha_RNA12950_R2	gene_4255
Sinv_RNA12599_R1	gene_4255
Sinv_RNA10785_R2	gene_4255
Cbir_RNA904_R2	gene_4255
Lhum_RNA19904_R1	gene_4256
Sinv_RNA12598_R4	gene_4256
Sinv_RNA19020_R1	gene_4257
Sinv_RNA16957_R6	gene_4258
Aech_RNA3549_R0	gene_4259
Lhum_RNA8_R1	gene_4260
Nvit_RNA14392_R1	gene_4261
Amel_RNA14658_R1	gene_4262
Nvit_RNA20488_R3	gene_4263
Nvit_RNA14393_R2	gene_4264
Sinv_RNA13840_R2	gene_4264
Mpha_RNA4584_R1	gene_4265
Mpha_RNA4593_R0	gene_4266
Mpha_RNA4592_R0	gene_4267
Mpha_RNA1027_R1	gene_4268
Sinv_RNA21999_R2	gene_4269
Cbir_RNA14064_R7	gene_4270
Mpha_RNA2620_R0	gene_4271
Mpha_RNA4596_R0	gene_4272
Mpha_RNA4594_R0	gene_4273
Mpha_RNA4595_R0	gene_4273
Nvit_RNA16859_R0	gene_4273
Dmel_RNA7726_R0	gene_4273
Mpha_RNA4598_R0	gene_4274
Mpha_RNA4597_R0	gene_4274
Mpha_RNA4600_R0	gene_4275
Mpha_RNA4599_R0	gene_4276
Dqua_RNA7864_R0	gene_4276
Dmel_RNA30861_R0	gene_4276
Cbir_RNA6282_R1	gene_4277
Aech_RNA7501_R0	gene_4278
Dmel_RNA14498_R0	gene_4278
Dqua_RNA6402_R1	gene_4279
Mpha_RNA4603_R0	gene_4280
Lhum_RNA2603_R5	gene_4281
Aech_RNA1966_R0	gene_4282
Mpha_RNA4608_R0	gene_4283
Cbir_RNA1645_R3	gene_4283
Cbir_RNA17622_R0	gene_4283
Lhum_RNA11631_R1	gene_4283
Cbir_RNA17610_R6	gene_4283
Cbir_RNA18714_R0	gene_4283
Sinv_RNA5154_R7	gene_4283
