Dqua_RNA0_R0	gene_0
Dqua_RNA4545_R0	gene_2719
Amel_RNA19680_R0	gene_2719
Dqua_RNA4548_R0	gene_2720
Dmel_RNA20143_R0	gene_2721
Dqua_RNA4553_R0	gene_2722
Dqua_RNA4561_R0	gene_2723
Cbir_RNA7621_R0	gene_2724
Dqua_RNA4566_R0	gene_2725
Dqua_RNA4568_R0	gene_2726
Dqua_RNA4571_R0	gene_2727
Nvit_RNA8595_R0	gene_2727
Dqua_RNA4572_R0	gene_2728
Aech_RNA8267_R0	gene_2728
Dqua_RNA4543_R0	gene_2729
Dmel_RNA24636_R0	gene_2729
Dqua_RNA4549_R0	gene_2730
Cbir_RNA7636_R0	gene_2730
Dmel_RNA31709_R0	gene_2730
Dqua_RNA4551_R0	gene_2731
Dqua_RNA4558_R0	gene_2732
Dqua_RNA4560_R0	gene_2733
Lhum_RNA8825_R0	gene_2733
Dqua_RNA4567_R0	gene_2734
Dqua_RNA4569_R0	gene_2735
Dqua_RNA4570_R0	gene_2736
Mpha_RNA16362_R0	gene_2736
Dqua_RNA4574_R0	gene_2737
Lhum_RNA21141_R0	gene_2738
Aech_RNA16930_R7	gene_2739
Aech_RNA15909_R6	gene_2740
Dqua_RNA4578_R0	gene_2741
Amel_RNA18595_R0	gene_2741
Dqua_RNA4580_R0	gene_2742
Dqua_RNA4585_R0	gene_2743
Dqua_RNA4591_R0	gene_2744
Dqua_RNA4595_R0	gene_2745
Dqua_RNA4597_R0	gene_2746
Mpha_RNA21191_R0	gene_2746
Dqua_RNA4604_R0	gene_2747
Dqua_RNA4605_R0	gene_2747
Aech_RNA12430_R0	gene_2748
Dqua_RNA4617_R0	gene_2749
Cbir_RNA12702_R0	gene_2750
Aech_RNA10021_R0	gene_2750
Nvit_RNA20928_R0	gene_2750
Dqua_RNA4630_R0	gene_2751
Sinv_RNA19669_R5	gene_2751
Nvit_RNA20916_R0	gene_2752
Dqua_RNA4642_R0	gene_2753
Dqua_RNA4648_R0	gene_2754
Dqua_RNA4647_R0	gene_2754
Dqua_RNA4653_R0	gene_2755
Dqua_RNA4657_R0	gene_2756
Dqua_RNA4658_R0	gene_2757
Dqua_RNA4661_R0	gene_2758
Dqua_RNA4663_R0	gene_2759
Dqua_RNA4667_R0	gene_2760
Dqua_RNA4666_R0	gene_2760
Dqua_RNA4668_R0	gene_2761
Dqua_RNA4675_R0	gene_2762
Dqua_RNA4676_R0	gene_2762
Cbir_RNA24049_R0	gene_2762
Amel_RNA15831_R0	gene_2762
Dqua_RNA4684_R0	gene_2763
Dqua_RNA4688_R0	gene_2764
Dqua_RNA4692_R0	gene_2765
Cbir_RNA4323_R0	gene_2765
Dqua_RNA4698_R0	gene_2766
Dqua_RNA4705_R0	gene_2767
Dqua_RNA4708_R0	gene_2767
Dqua_RNA4713_R0	gene_2768
Dqua_RNA4715_R0	gene_2768
Mpha_RNA21292_R0	gene_2768
Nvit_RNA5608_R0	gene_2769
Dmel_RNA14393_R3	gene_2770
Aech_RNA4177_R0	gene_2771
Mpha_RNA23532_R0	gene_2771
Mpha_RNA23531_R0	gene_2771
Mpha_RNA23530_R0	gene_2771
Mpha_RNA23529_R0	gene_2771
Mpha_RNA23528_R0	gene_2771
Dqua_RNA4728_R0	gene_2772
Dqua_RNA857_R6	gene_2773
Dqua_RNA4753_R0	gene_2774
Dqua_RNA4754_R0	gene_2775
Dqua_RNA4755_R0	gene_2776
Lhum_RNA16430_R0	gene_2777
Cbir_RNA9104_R0	gene_2777
Dqua_RNA4757_R0	gene_2778
Dqua_RNA4756_R0	gene_2778
Dqua_RNA4759_R0	gene_2779
Dqua_RNA4579_R0	gene_2780
Mpha_RNA18137_R0	gene_2780
Dqua_RNA4582_R0	gene_2781
Dqua_RNA4587_R0	gene_2782
Cbir_RNA9809_R0	gene_2782
Dqua_RNA4588_R0	gene_2782
Nvit_RNA18835_R0	gene_2782
Dqua_RNA4589_R0	gene_2783
Sinv_RNA8285_R0	gene_2783
Dqua_RNA4593_R0	gene_2784
Dqua_RNA4594_R0	gene_2785
Cbir_RNA12545_R0	gene_2785
Mpha_RNA18118_R0	gene_2785
Dqua_RNA4601_R0	gene_2786
Dqua_RNA4600_R0	gene_2786
Mpha_RNA727_R0	gene_2786
Mpha_RNA21188_R0	gene_2786
Dqua_RNA4607_R0	gene_2787
Dqua_RNA4606_R0	gene_2787
Mpha_RNA12983_R0	gene_2787
Amel_RNA24017_R0	gene_2787
Dqua_RNA4615_R0	gene_2788
Cbir_RNA12692_R0	gene_2788
Dqua_RNA4616_R0	gene_2789
Dqua_RNA4619_R0	gene_2790
Mpha_RNA12007_R0	gene_2790
Dqua_RNA4624_R0	gene_2791
Cbir_RNA12704_R0	gene_2791
Dqua_RNA4629_R0	gene_2792
Dqua_RNA4641_R0	gene_2793
Dqua_RNA4645_R0	gene_2794
Aech_RNA20527_R0	gene_2794
Dqua_RNA4651_R0	gene_2795
Aech_RNA7961_R0	gene_2795
Dmel_RNA24064_R0	gene_2795
Dqua_RNA4654_R0	gene_2796
Dqua_RNA4655_R0	gene_2797
Dqua_RNA4656_R0	gene_2797
Mpha_RNA13815_R0	gene_2797
Cbir_RNA826_R0	gene_2797
Sinv_RNA3588_R0	gene_2797
Nvit_RNA5669_R0	gene_2797
Dqua_RNA4662_R0	gene_2798
Nvit_RNA3524_R0	gene_2798
Dmel_RNA22336_R0	gene_2798
Dqua_RNA4665_R0	gene_2799
Dqua_RNA4671_R0	gene_2800
Cbir_RNA25546_R0	gene_2800
Nvit_RNA649_R0	gene_2800
Lhum_RNA8934_R0	gene_2801
Dqua_RNA4679_R0	gene_2802
Dqua_RNA4691_R0	gene_2803
Dqua_RNA4693_R0	gene_2804
Dqua_RNA4695_R0	gene_2805
Aech_RNA21103_R0	gene_2805
Dqua_RNA4696_R0	gene_2806
Aech_RNA21106_R0	gene_2807
Dqua_RNA4697_R0	gene_2808
Dqua_RNA4710_R0	gene_2809
Dqua_RNA4725_R0	gene_2810
Mpha_RNA23527_R0	gene_2810
Aech_RNA4175_R0	gene_2810
Cbir_RNA9123_R0	gene_2811
Dqua_RNA4739_R0	gene_2812
Cbir_RNA9121_R0	gene_2813
Dqua_RNA4735_R0	gene_2814
Dqua_RNA4740_R0	gene_2815
Dqua_RNA4738_R0	gene_2816
Dqua_RNA4741_R0	gene_2817
Dqua_RNA4743_R0	gene_2818
Dqua_RNA4742_R0	gene_2819
Aech_RNA19821_R0	gene_2820
Dqua_RNA4745_R0	gene_2821
Dqua_RNA4746_R0	gene_2822
Dqua_RNA4749_R0	gene_2823
Dqua_RNA4747_R0	gene_2824
Dqua_RNA4750_R0	gene_2825
Dqua_RNA4752_R0	gene_2826
Sinv_RNA6556_R0	gene_2826
Dqua_RNA4760_R0	gene_2827
Amel_RNA20345_R0	gene_2827
Amel_RNA13621_R0	gene_2828
Dqua_RNA4763_R0	gene_2828
Nvit_RNA1857_R1	gene_2828
Dmel_RNA3770_R1	gene_2828
Dmel_RNA3791_R1	gene_2828
Dmel_RNA3795_R1	gene_2828
Dqua_RNA14727_R8	gene_2829
Dqua_RNA22146_R7	gene_2830
Dqua_RNA2179_R5	gene_2831
Lhum_RNA21141_R6	gene_2832
Dqua_RNA1474_R7	gene_2833
Sinv_RNA21654_R8	gene_2834
Mpha_RNA3099_R9	gene_2835
Aech_RNA7193_R9	gene_2836
Aech_RNA14534_R9	gene_2837
Cbir_RNA24044_R3	gene_2838
Dqua_RNA22786_R9	gene_2839
Dqua_RNA4768_R0	gene_2840
Mpha_RNA7759_R0	gene_2840
Dqua_RNA4770_R0	gene_2841
Cbir_RNA18227_R0	gene_2841
Dqua_RNA4771_R0	gene_2842
Dqua_RNA4776_R0	gene_2843
Mpha_RNA7750_R0	gene_2843
Dqua_RNA4779_R0	gene_2844
Dqua_RNA4783_R0	gene_2845
Aech_RNA950_R0	gene_2845
Dmel_RNA6891_R0	gene_2845
Dqua_RNA4784_R0	gene_2846
Dqua_RNA4787_R0	gene_2847
Lhum_RNA11733_R0	gene_2847
Dqua_RNA4789_R0	gene_2848
Dqua_RNA4796_R0	gene_2849
Dqua_RNA4799_R0	gene_2850
Mpha_RNA18553_R0	gene_2851
Dqua_RNA4813_R0	gene_2852
Dqua_RNA4815_R0	gene_2853
Dmel_RNA30589_R0	gene_2853
Dqua_RNA4821_R0	gene_2854
Dqua_RNA4822_R0	gene_2855
Nvit_RNA17848_R0	gene_2855
Dqua_RNA4823_R0	gene_2856
Dqua_RNA4827_R0	gene_2857
Lhum_RNA4751_R0	gene_2857
Dqua_RNA4830_R0	gene_2858
Dqua_RNA4832_R0	gene_2859
Dqua_RNA4833_R0	gene_2860
Cbir_RNA11386_R0	gene_2860
Lhum_RNA2330_R0	gene_2861
Dqua_RNA4836_R0	gene_2861
Dqua_RNA4837_R0	gene_2861
Lhum_RNA2334_R0	gene_2861
Amel_RNA10498_R6	gene_2861
Dqua_RNA4839_R0	gene_2862
Sinv_RNA15711_R0	gene_2862
Dmel_RNA14196_R0	gene_2862
Dqua_RNA4843_R0	gene_2863
Dqua_RNA4844_R0	gene_2864
Dqua_RNA4845_R0	gene_2865
Dqua_RNA4846_R0	gene_2866
Dqua_RNA4850_R0	gene_2867
Dqua_RNA4851_R0	gene_2868
Nvit_RNA22987_R0	gene_2868
Nvit_RNA18371_R0	gene_2868
Mpha_RNA11815_R1	gene_2868
Dqua_RNA4852_R0	gene_2869
Dqua_RNA4853_R0	gene_2870
Aech_RNA775_R0	gene_2870
Dqua_RNA4854_R0	gene_2871
Dqua_RNA4855_R0	gene_2872
Dqua_RNA4861_R0	gene_2873
Dqua_RNA4862_R0	gene_2873
Mpha_RNA19777_R0	gene_2873
Amel_RNA3354_R4	gene_2874
Dqua_RNA4878_R0	gene_2875
Nvit_RNA5839_R0	gene_2875
Dqua_RNA4888_R0	gene_2876
Nvit_RNA14475_R9	gene_2877
Dqua_RNA4908_R0	gene_2878
Dqua_RNA4909_R0	gene_2879
Dqua_RNA4914_R0	gene_2880
Dqua_RNA4921_R0	gene_2881
Dqua_RNA4924_R0	gene_2882
Dqua_RNA4931_R0	gene_2883
Dqua_RNA4938_R0	gene_2884
Dqua_RNA4942_R0	gene_2885
Dqua_RNA4944_R0	gene_2886
Lhum_RNA1692_R0	gene_2887
Dqua_RNA4949_R0	gene_2888
Cbir_RNA11240_R0	gene_2888
Sinv_RNA14367_R0	gene_2888
Cbir_RNA25393_R0	gene_2888
Dqua_RNA4954_R0	gene_2889
Sinv_RNA13322_R0	gene_2889
Dqua_RNA4955_R0	gene_2890
Aech_RNA12386_R0	gene_2890
Lhum_RNA9643_R0	gene_2891
Dqua_RNA4961_R0	gene_2892
Dqua_RNA4958_R0	gene_2893
Dqua_RNA4964_R0	gene_2894
Dqua_RNA4971_R0	gene_2895
Dqua_RNA4974_R0	gene_2896
Dqua_RNA4975_R0	gene_2897
Dqua_RNA11963_R9	gene_2898
Dqua_RNA4985_R0	gene_2899
Dqua_RNA4991_R0	gene_2900
Aech_RNA4865_R0	gene_2901
Cbir_RNA18226_R0	gene_2902
Dqua_RNA4773_R0	gene_2903
Dmel_RNA15585_R0	gene_2903
Dqua_RNA4781_R0	gene_2904
Dqua_RNA4786_R0	gene_2905
Dqua_RNA4785_R0	gene_2905
Dqua_RNA4788_R0	gene_2906
Dqua_RNA4795_R0	gene_2907
Dqua_RNA4794_R0	gene_2907
Dqua_RNA4802_R0	gene_2908
Mpha_RNA9784_R0	gene_2909
Dqua_RNA4803_R0	gene_2910
Dqua_RNA4806_R0	gene_2911
Dqua_RNA4805_R0	gene_2911
Nvit_RNA10574_R0	gene_2911
Dqua_RNA4807_R0	gene_2912
Amel_RNA8788_R0	gene_2912
Dmel_RNA8326_R0	gene_2912
Dqua_RNA4811_R0	gene_2913
Dqua_RNA4809_R0	gene_2913
Dqua_RNA4814_R0	gene_2914
Cbir_RNA2449_R0	gene_2914
Nvit_RNA25545_R0	gene_2914
Dmel_RNA16876_R0	gene_2914
Dqua_RNA4816_R0	gene_2915
Amel_RNA25047_R2	gene_2916
Dqua_RNA4817_R0	gene_2917
Dqua_RNA4816_R1	gene_2917
Lhum_RNA16893_R0	gene_2917
Aech_RNA1473_R4	gene_2918
Dqua_RNA4819_R0	gene_2919
Dqua_RNA4818_R0	gene_2919
Lhum_RNA2260_R0	gene_2919
Aech_RNA19943_R0	gene_2919
Amel_RNA20704_R0	gene_2919
Dqua_RNA4820_R0	gene_2920
Dqua_RNA4825_R0	gene_2921
Amel_RNA20541_R0	gene_2921
Dqua_RNA4829_R0	gene_2922
Lhum_RNA4749_R0	gene_2922
Dqua_RNA4834_R0	gene_2923
Dqua_RNA4838_R0	gene_2924
Dmel_RNA21905_R0	gene_2924
Dqua_RNA4840_R0	gene_2925
Lhum_RNA617_R0	gene_2925
Dqua_RNA4841_R0	gene_2926
Nvit_RNA21092_R0	gene_2927
Dqua_RNA4856_R0	gene_2928
Mpha_RNA14288_R0	gene_2928
Nvit_RNA24308_R1	gene_2928
Dqua_RNA4857_R0	gene_2929
Dqua_RNA4860_R0	gene_2929
Dqua_RNA4858_R0	gene_2929
Amel_RNA2885_R0	gene_2929
Lhum_RNA6924_R0	gene_2929
Dqua_RNA4864_R0	gene_2930
Nvit_RNA332_R0	gene_2930
Dmel_RNA5756_R0	gene_2930
Dqua_RNA4866_R0	gene_2931
Dqua_RNA4879_R0	gene_2932
Dqua_RNA4880_R0	gene_2933
Dqua_RNA4881_R0	gene_2933
Dqua_RNA23661_R0	gene_2933
Dqua_RNA4883_R0	gene_2934
Lhum_RNA18488_R0	gene_2934
Amel_RNA28898_R0	gene_2934
Dqua_RNA4885_R0	gene_2935
Dqua_RNA4889_R0	gene_2936
Dqua_RNA4890_R0	gene_2936
Cbir_RNA6359_R0	gene_2936
Mpha_RNA1187_R0	gene_2936
Dqua_RNA4891_R0	gene_2937
Dmel_RNA31973_R9	gene_2938
Dqua_RNA1601_R6	gene_2939
Dqua_RNA4892_R0	gene_2940
Dqua_RNA4907_R0	gene_2941
Sinv_RNA13350_R0	gene_2942
Aech_RNA21342_R0	gene_2942
Aech_RNA21344_R0	gene_2942
Aech_RNA21343_R0	gene_2942
Aech_RNA20835_R9	gene_2943
Lhum_RNA6895_R0	gene_2944
Dqua_RNA4916_R0	gene_2945
Dqua_RNA4919_R0	gene_2946
Dqua_RNA4920_R0	gene_2947
Aech_RNA21327_R0	gene_2948
Cbir_RNA20246_R0	gene_2949
Dqua_RNA4925_R0	gene_2950
Dqua_RNA4933_R0	gene_2951
Dqua_RNA4935_R0	gene_2952
Dqua_RNA4939_R0	gene_2953
Dqua_RNA4940_R0	gene_2953
Aech_RNA20689_R0	gene_2953
Dmel_RNA32413_R0	gene_2953
Dqua_RNA4947_R0	gene_2954
Dqua_RNA4948_R0	gene_2954
Dqua_RNA4952_R0	gene_2955
Dqua_RNA4957_R0	gene_2956
Dqua_RNA4963_R0	gene_2957
Amel_RNA20171_R0	gene_2958
Dqua_RNA4973_R0	gene_2959
Dqua_RNA4977_R0	gene_2960
Dqua_RNA4980_R0	gene_2961
Dqua_RNA4984_R0	gene_2962
Dqua_RNA4990_R0	gene_2963
Dqua_RNA4993_R0	gene_2964
Dqua_RNA5005_R0	gene_2965
Dqua_RNA5007_R0	gene_2966
Dqua_RNA5008_R0	gene_2967
Cbir_RNA15312_R0	gene_2968
Aech_RNA11693_R2	gene_2969
Dqua_RNA5016_R0	gene_2970
Dqua_RNA5021_R0	gene_2971
Dmel_RNA6594_R0	gene_2971
Dqua_RNA5029_R0	gene_2972
Lhum_RNA4276_R1	gene_2973
Dqua_RNA5040_R0	gene_2974
Dqua_RNA5050_R0	gene_2975
Dqua_RNA5056_R0	gene_2976
Dqua_RNA5057_R0	gene_2977
Dqua_RNA5061_R0	gene_2978
Dqua_RNA5063_R0	gene_2979
Aech_RNA4865_R2	gene_2980
Dqua_RNA5067_R0	gene_2981
Dqua_RNA4994_R0	gene_2982
Dqua_RNA4997_R0	gene_2982
Aech_RNA844_R0	gene_2983
Dqua_RNA5002_R0	gene_2984
Lhum_RNA11784_R0	gene_2984
Nvit_RNA10049_R0	gene_2984
Lhum_RNA17268_R1	gene_2984
Aech_RNA5301_R1	gene_2984
Dqua_RNA22554_R1	gene_2984
Aech_RNA5304_R1	gene_2984
Dqua_RNA5012_R0	gene_2985
Dqua_RNA5010_R0	gene_2985
Lhum_RNA11769_R0	gene_2985
Sinv_RNA2657_R0	gene_2985
Dqua_RNA5013_R0	gene_2986
Dqua_RNA5020_R0	gene_2987
Dqua_RNA5018_R0	gene_2987
Dqua_RNA5019_R0	gene_2987
Dqua_RNA5052_R0	gene_2988
Dmel_RNA34529_R2	gene_2988
Dqua_RNA5059_R0	gene_2989
Dqua_RNA5062_R0	gene_2990
Cbir_RNA25449_R0	gene_2990
Dqua_RNA5064_R0	gene_2991
Dqua_RNA10875_R2	gene_2992
Dqua_RNA4_R4	gene_2993
Dqua_RNA12781_R5	gene_2994
Dqua_RNA5069_R0	gene_2995
Dqua_RNA5070_R0	gene_2996
Dqua_RNA5071_R0	gene_2997
Mpha_RNA10856_R3	gene_2998
Lhum_RNA1041_R5	gene_2999
Dqua_RNA9736_R5	gene_3000
Sinv_RNA18557_R4	gene_3001
Sinv_RNA21137_R2	gene_3002
Dqua_RNA5242_R2	gene_3003
Dqua_RNA19809_R7	gene_3004
Dqua_RNA5074_R0	gene_3005
Sinv_RNA312_R0	gene_3006
Dqua_RNA5075_R0	gene_3007
Dqua_RNA5077_R0	gene_3008
Dmel_RNA16554_R0	gene_3008
Dqua_RNA5082_R0	gene_3009
Dqua_RNA5090_R0	gene_3010
Mpha_RNA6828_R0	gene_3010
Mpha_RNA3069_R0	gene_3010
Cbir_RNA24045_R0	gene_3010
Mpha_RNA3535_R0	gene_3010
Dqua_RNA5091_R0	gene_3011
Dqua_RNA5092_R0	gene_3012
Dqua_RNA5093_R0	gene_3013
Dmel_RNA32355_R7	gene_3013
Dqua_RNA5095_R0	gene_3014
Lhum_RNA14170_R0	gene_3015
Mpha_RNA6084_R0	gene_3015
Mpha_RNA10324_R0	gene_3015
Dqua_RNA5117_R0	gene_3016
Dqua_RNA5124_R0	gene_3017
Dqua_RNA5127_R0	gene_3018
Mpha_RNA22891_R1	gene_3018
Dqua_RNA5131_R0	gene_3019
Amel_RNA8452_R0	gene_3019
Dqua_RNA5132_R0	gene_3020
Mpha_RNA14412_R0	gene_3020
Dqua_RNA5134_R0	gene_3021
Dqua_RNA5138_R0	gene_3022
Sinv_RNA2596_R0	gene_3022
Amel_RNA8882_R0	gene_3022
Dqua_RNA5147_R0	gene_3023
Dqua_RNA5148_R0	gene_3023
Lhum_RNA21245_R0	gene_3023
Aech_RNA6664_R0	gene_3023
Amel_RNA8892_R0	gene_3023
Amel_RNA8895_R0	gene_3023
Aech_RNA7852_R0	gene_3024
Dqua_RNA5160_R0	gene_3025
Dqua_RNA5162_R0	gene_3025
Dqua_RNA5161_R0	gene_3025
Dqua_RNA23133_R7	gene_3026
Dqua_RNA5171_R0	gene_3027
Dqua_RNA5172_R0	gene_3028
Dqua_RNA5173_R0	gene_3029
Dqua_RNA5178_R0	gene_3030
Dqua_RNA5194_R0	gene_3031
Dmel_RNA24132_R0	gene_3032
Dmel_RNA15112_R0	gene_3033
Dqua_RNA5203_R0	gene_3034
Dqua_RNA5206_R0	gene_3035
Cbir_RNA15169_R0	gene_3035
Mpha_RNA2897_R0	gene_3035
Mpha_RNA1484_R0	gene_3036
Dqua_RNA5211_R0	gene_3037
Dqua_RNA5212_R0	gene_3038
Dqua_RNA5214_R0	gene_3039
Dqua_RNA5214_R1	gene_3040
Dqua_RNA5215_R0	gene_3040
Sinv_RNA22247_R8	gene_3041
Dqua_RNA5076_R0	gene_3042
Sinv_RNA12180_R0	gene_3042
Amel_RNA11266_R0	gene_3042
Dqua_RNA5080_R0	gene_3043
Aech_RNA14061_R0	gene_3043
Dqua_RNA5089_R0	gene_3044
Dqua_RNA5088_R0	gene_3044
Lhum_RNA14174_R0	gene_3044
Nvit_RNA15187_R0	gene_3044
Nvit_RNA15191_R0	gene_3044
Dqua_RNA5094_R0	gene_3045
Aech_RNA10755_R0	gene_3045
Dqua_RNA5098_R0	gene_3046
Dqua_RNA5097_R0	gene_3046
Dqua_RNA5096_R0	gene_3046
Dqua_RNA5099_R0	gene_3047
Dmel_RNA26027_R0	gene_3047
Dqua_RNA5100_R0	gene_3048
Dmel_RNA6114_R0	gene_3048
Dqua_RNA5101_R0	gene_3049
Amel_RNA8523_R0	gene_3049
Cbir_RNA2559_R0	gene_3049
Nvit_RNA16714_R0	gene_3049
Dqua_RNA5102_R0	gene_3050
Dmel_RNA19840_R0	gene_3050
Cbir_RNA20462_R0	gene_3051
Cbir_RNA10734_R3	gene_3052
Dqua_RNA5118_R0	gene_3053
Dqua_RNA5120_R0	gene_3054
Dmel_RNA29524_R4	gene_3054
Dqua_RNA5121_R1	gene_3055
Dqua_RNA5120_R1	gene_3055
Dqua_RNA5121_R0	gene_3056
Dqua_RNA5123_R0	gene_3057
Dqua_RNA5126_R0	gene_3058
Dqua_RNA5128_R0	gene_3059
Cbir_RNA2835_R0	gene_3059
Lhum_RNA22418_R0	gene_3059
Dqua_RNA5133_R0	gene_3060
Dqua_RNA5135_R0	gene_3061
Dqua_RNA5153_R0	gene_3062
Dqua_RNA5154_R0	gene_3062
Dqua_RNA5156_R0	gene_3063
Dqua_RNA5163_R0	gene_3064
Dqua_RNA5164_R0	gene_3065
Dqua_RNA5168_R0	gene_3066
Dqua_RNA5167_R0	gene_3066
Dqua_RNA5166_R0	gene_3066
Dqua_RNA5165_R0	gene_3066
Dqua_RNA5170_R0	gene_3066
Dqua_RNA5169_R0	gene_3066
Dqua_RNA5177_R0	gene_3067
Dqua_RNA5186_R0	gene_3068
Mpha_RNA17006_R0	gene_3069
Amel_RNA28392_R3	gene_3070
Dqua_RNA5187_R0	gene_3071
Dqua_RNA5188_R0	gene_3072
Dqua_RNA5193_R0	gene_3073
Dqua_RNA5199_R0	gene_3074
Aech_RNA16349_R0	gene_3074
Cbir_RNA90_R0	gene_3074
Dmel_RNA6363_R4	gene_3075
Dqua_RNA5200_R0	gene_3076
Dmel_RNA23985_R9	gene_3077
Dqua_RNA5201_R0	gene_3078
Dqua_RNA5202_R0	gene_3078
Aech_RNA16355_R0	gene_3079
Dqua_RNA5205_R0	gene_3080
Nvit_RNA16198_R0	gene_3080
Dqua_RNA5213_R0	gene_3081
Aech_RNA6721_R5	gene_3082
Aech_RNA3048_R1	gene_3083
Aech_RNA10635_R2	gene_3084
Dqua_RNA5216_R0	gene_3085
Dqua_RNA5217_R0	gene_3086
Dqua_RNA5221_R0	gene_3087
Dqua_RNA5222_R0	gene_3088
Dqua_RNA5223_R0	gene_3089
Dqua_RNA5224_R0	gene_3090
Lhum_RNA5330_R0	gene_3090
Amel_RNA8031_R0	gene_3091
Dqua_RNA5219_R0	gene_3092
Dqua_RNA5227_R0	gene_3093
Dqua_RNA5226_R0	gene_3093
Nvit_RNA14494_R0	gene_3093
Dqua_RNA5228_R0	gene_3094
Dqua_RNA5229_R0	gene_3095
Lhum_RNA5347_R0	gene_3096
Cbir_RNA24644_R3	gene_3097
Dqua_RNA5232_R0	gene_3098
Dqua_RNA5234_R0	gene_3099
Dqua_RNA5235_R0	gene_3100
Dqua_RNA5236_R0	gene_3100
Aech_RNA17883_R0	gene_3100
Sinv_RNA15846_R0	gene_3100
Sinv_RNA15847_R0	gene_3100
Nvit_RNA24539_R0	gene_3100
Dqua_RNA5239_R0	gene_3101
Mpha_RNA3794_R0	gene_3101
Dqua_RNA5243_R0	gene_3102
Dmel_RNA346_R0	gene_3102
Dqua_RNA5246_R0	gene_3103
Dqua_RNA5266_R0	gene_3104
Dqua_RNA5271_R0	gene_3105
Dqua_RNA336_R2	gene_3106
Dqua_RNA5233_R0	gene_3107
Dqua_RNA5237_R0	gene_3108
Dmel_RNA5222_R0	gene_3108
Dqua_RNA5238_R0	gene_3109
Dqua_RNA5240_R0	gene_3110
Cbir_RNA2605_R0	gene_3110
Dqua_RNA5242_R0	gene_3111
Dqua_RNA5245_R0	gene_3112
Dqua_RNA5244_R0	gene_3112
Dqua_RNA5251_R0	gene_3113
Dqua_RNA5261_R0	gene_3114
Dqua_RNA5260_R0	gene_3114
Dqua_RNA5262_R0	gene_3114
Dqua_RNA5263_R0	gene_3114
Dqua_RNA5259_R0	gene_3114
Dqua_RNA5264_R0	gene_3114
Dqua_RNA5269_R0	gene_3115
Dqua_RNA5270_R0	gene_3115
Dqua_RNA5273_R0	gene_3116
Aech_RNA8784_R0	gene_3116
Cbir_RNA9488_R0	gene_3117
Dqua_RNA5275_R0	gene_3118
Dqua_RNA5276_R0	gene_3119
Dqua_RNA5277_R0	gene_3119
Nvit_RNA14212_R0	gene_3119
Dqua_RNA5280_R0	gene_3120
Dqua_RNA5282_R0	gene_3121
Dqua_RNA5285_R0	gene_3121
Dqua_RNA5286_R0	gene_3122
Dqua_RNA5293_R0	gene_3123
Dqua_RNA5298_R0	gene_3123
Dqua_RNA5303_R0	gene_3124
Dqua_RNA5309_R0	gene_3125
Dqua_RNA5308_R0	gene_3125
Dqua_RNA5310_R0	gene_3125
Lhum_RNA256_R0	gene_3125
Dqua_RNA5313_R0	gene_3126
Dqua_RNA5318_R0	gene_3127
Dqua_RNA5323_R0	gene_3128
Dqua_RNA5327_R0	gene_3129
Dqua_RNA5331_R1	gene_3129
Amel_RNA23055_R0	gene_3130
Sinv_RNA16045_R8	gene_3131
Dqua_RNA5343_R0	gene_3132
Nvit_RNA24304_R0	gene_3132
Dqua_RNA5348_R0	gene_3133
Dqua_RNA5349_R0	gene_3134
Dqua_RNA5357_R0	gene_3135
Dqua_RNA5389_R0	gene_3136
Nvit_RNA8171_R0	gene_3136
Dqua_RNA5395_R0	gene_3137
Dqua_RNA5397_R0	gene_3138
Cbir_RNA10313_R0	gene_3139
Dqua_RNA5403_R0	gene_3139
Dqua_RNA5402_R0	gene_3139
Aech_RNA11058_R0	gene_3139
Amel_RNA18180_R0	gene_3139
Aech_RNA11061_R0	gene_3139
Dmel_RNA10004_R0	gene_3139
Dmel_RNA10005_R0	gene_3139
Dqua_RNA5406_R0	gene_3140
Dqua_RNA5411_R0	gene_3141
Dqua_RNA5413_R0	gene_3142
Dqua_RNA5418_R0	gene_3143
Dqua_RNA5420_R0	gene_3143
Lhum_RNA6059_R0	gene_3143
Sinv_RNA8186_R0	gene_3143
Dqua_RNA5422_R0	gene_3144
Aech_RNA16095_R0	gene_3145
Dqua_RNA5432_R0	gene_3146
Dqua_RNA5433_R0	gene_3147
Dqua_RNA5441_R0	gene_3148
Lhum_RNA23168_R0	gene_3149
Dqua_RNA5454_R0	gene_3150
Mpha_RNA4066_R0	gene_3150
Dqua_RNA5455_R0	gene_3151
Dqua_RNA5457_R0	gene_3152
Dqua_RNA5464_R0	gene_3153
Dqua_RNA5462_R0	gene_3153
Dqua_RNA5463_R0	gene_3153
Aech_RNA18195_R0	gene_3153
Dmel_RNA31432_R0	gene_3153
Amel_RNA8010_R0	gene_3153
Dqua_RNA5466_R0	gene_3154
Dqua_RNA5465_R0	gene_3154
Dqua_RNA5470_R0	gene_3155
Cbir_RNA14983_R0	gene_3155
Amel_RNA8256_R0	gene_3155
Nvit_RNA17928_R0	gene_3155
Dmel_RNA17798_R1	gene_3155
Sinv_RNA6342_R0	gene_3156
Dqua_RNA5480_R0	gene_3157
Lhum_RNA14763_R0	gene_3158
Dqua_RNA5488_R0	gene_3159
Dqua_RNA5489_R0	gene_3160
Dqua_RNA5491_R0	gene_3161
Dqua_RNA5499_R0	gene_3162
Dqua_RNA5500_R0	gene_3163
