Cbir_RNA17330_R5	gene_0
Aech_RNA5646_R0	gene_4047
Aech_RNA3617_R2	gene_4048
Aech_RNA15070_R3	gene_4048
Aech_RNA3908_R9	gene_4049
Aech_RNA5649_R0	gene_4050
Mpha_RNA1117_R2	gene_4051
Sinv_RNA3052_R8	gene_4052
Cbir_RNA171_R7	gene_4053
Nvit_RNA24676_R3	gene_4054
Mpha_RNA7942_R1	gene_4055
Aech_RNA3001_R7	gene_4056
Sinv_RNA11296_R5	gene_4057
Nvit_RNA25660_R1	gene_4058
Cbir_RNA19518_R1	gene_4059
Aech_RNA5227_R1	gene_4060
Aech_RNA5648_R0	gene_4061
Aech_RNA3247_R7	gene_4062
Aech_RNA20536_R6	gene_4063
Mpha_RNA239_R2	gene_4064
Cbir_RNA14074_R0	gene_4065
Aech_RNA3237_R7	gene_4066
Aech_RNA5665_R0	gene_4067
Mpha_RNA9115_R0	gene_4068
Mpha_RNA4498_R5	gene_4069
Dmel_RNA6456_R0	gene_4070
Aech_RNA5668_R0	gene_4071
Aech_RNA17111_R1	gene_4071
Aech_RNA5669_R0	gene_4072
Dmel_RNA11009_R1	gene_4073
Aech_RNA5673_R0	gene_4074
Aech_RNA5678_R0	gene_4075
Aech_RNA5681_R0	gene_4076
Aech_RNA5686_R0	gene_4077
Aech_RNA5690_R0	gene_4078
Nvit_RNA15587_R0	gene_4078
Cbir_RNA24845_R8	gene_4079
Aech_RNA5694_R0	gene_4080
Aech_RNA5695_R0	gene_4081
Nvit_RNA23433_R2	gene_4082
Aech_RNA10264_R5	gene_4083
Amel_RNA12383_R0	gene_4084
Mpha_RNA19605_R0	gene_4085
Aech_RNA5706_R0	gene_4086
Aech_RNA5708_R0	gene_4087
Aech_RNA5709_R0	gene_4088
Aech_RNA5710_R0	gene_4089
Aech_RNA5713_R0	gene_4090
Mpha_RNA16900_R0	gene_4090
Aech_RNA5720_R0	gene_4091
Aech_RNA5675_R0	gene_4092
Cbir_RNA15690_R0	gene_4092
Aech_RNA5682_R0	gene_4093
Mpha_RNA11020_R0	gene_4093
Aech_RNA5689_R0	gene_4094
Nvit_RNA15589_R0	gene_4094
Aech_RNA5696_R0	gene_4095
Mpha_RNA20274_R0	gene_4096
Aech_RNA5702_R0	gene_4097
Aech_RNA5704_R0	gene_4097
Sinv_RNA5760_R0	gene_4097
Aech_RNA5700_R0	gene_4097
Amel_RNA12405_R0	gene_4097
Amel_RNA12410_R0	gene_4097
Aech_RNA5707_R0	gene_4098
Aech_RNA5711_R0	gene_4099
Aech_RNA5712_R0	gene_4099
Dqua_RNA7854_R0	gene_4099
Nvit_RNA11571_R0	gene_4099
Nvit_RNA11572_R0	gene_4099
Aech_RNA5714_R0	gene_4100
Cbir_RNA3272_R0	gene_4101
Sinv_RNA21968_R0	gene_4101
Mpha_RNA17938_R0	gene_4102
Dqua_RNA13168_R8	gene_4103
Cbir_RNA1167_R4	gene_4104
Aech_RNA3679_R1	gene_4105
Aech_RNA5202_R9	gene_4106
Cbir_RNA16234_R0	gene_4107
Lhum_RNA4900_R0	gene_4108
Aech_RNA9149_R5	gene_4109
Aech_RNA5229_R8	gene_4110
Nvit_RNA25745_R9	gene_4111
Sinv_RNA19796_R0	gene_4112
Nvit_RNA5820_R0	gene_4113
Dqua_RNA8631_R2	gene_4114
Dqua_RNA9938_R0	gene_4115
Cbir_RNA12346_R1	gene_4116
Sinv_RNA21158_R7	gene_4117
Aech_RNA5724_R0	gene_4118
Aech_RNA3998_R1	gene_4119
Sinv_RNA19025_R1	gene_4120
Aech_RNA5726_R0	gene_4121
Aech_RNA5725_R0	gene_4122
Aech_RNA7592_R8	gene_4123
Aech_RNA7264_R1	gene_4124
Aech_RNA1938_R4	gene_4125
Aech_RNA5731_R0	gene_4126
Aech_RNA4417_R9	gene_4127
Aech_RNA2357_R6	gene_4128
Aech_RNA7757_R4	gene_4129
Lhum_RNA3468_R9	gene_4130
Sinv_RNA18072_R0	gene_4131
Aech_RNA17384_R1	gene_4132
Nvit_RNA26356_R0	gene_4133
Dqua_RNA6391_R6	gene_4134
Sinv_RNA16957_R9	gene_4135
Amel_RNA28439_R1	gene_4136
Sinv_RNA14069_R7	gene_4137
Cbir_RNA6921_R5	gene_4138
Aech_RNA4417_R4	gene_4139
Aech_RNA20176_R6	gene_4140
Cbir_RNA24644_R9	gene_4141
Lhum_RNA16703_R8	gene_4142
Sinv_RNA10362_R0	gene_4143
Aech_RNA5733_R0	gene_4144
Aech_RNA5735_R0	gene_4145
Aech_RNA5744_R0	gene_4146
Aech_RNA5743_R0	gene_4146
Cbir_RNA18636_R0	gene_4146
Amel_RNA9369_R0	gene_4146
Aech_RNA5747_R0	gene_4147
Aech_RNA5750_R0	gene_4148
Aech_RNA5755_R0	gene_4149
Aech_RNA5754_R0	gene_4149
Aech_RNA5756_R0	gene_4150
Aech_RNA5759_R0	gene_4151
Aech_RNA5760_R0	gene_4152
Mpha_RNA16985_R0	gene_4152
Aech_RNA5762_R0	gene_4153
Aech_RNA5767_R0	gene_4154
Aech_RNA5774_R0	gene_4155
Aech_RNA5777_R0	gene_4156
Aech_RNA5782_R0	gene_4157
Aech_RNA5787_R0	gene_4158
Aech_RNA5789_R0	gene_4159
Mpha_RNA11080_R0	gene_4160
Sinv_RNA14379_R0	gene_4160
Aech_RNA5792_R0	gene_4161
Cbir_RNA23048_R0	gene_4161
Aech_RNA5793_R0	gene_4162
Aech_RNA5795_R0	gene_4163
Aech_RNA5810_R0	gene_4164
Aech_RNA5809_R0	gene_4164
Sinv_RNA4256_R0	gene_4164
Nvit_RNA11399_R0	gene_4164
Aech_RNA5202_R5	gene_4165
Aech_RNA5812_R0	gene_4166
Aech_RNA5827_R0	gene_4167
Aech_RNA5828_R0	gene_4168
Dqua_RNA13151_R0	gene_4168
Aech_RNA5839_R0	gene_4169
Aech_RNA5851_R0	gene_4170
Aech_RNA5853_R0	gene_4171
Aech_RNA5855_R0	gene_4172
Aech_RNA5861_R0	gene_4173
Amel_RNA5274_R0	gene_4173
Aech_RNA5869_R0	gene_4174
Aech_RNA5873_R0	gene_4175
Aech_RNA5880_R0	gene_4176
Aech_RNA5883_R0	gene_4177
Aech_RNA5884_R0	gene_4178
Aech_RNA5886_R0	gene_4179
Mpha_RNA7132_R0	gene_4179
Aech_RNA5889_R0	gene_4180
Aech_RNA5892_R0	gene_4181
Mpha_RNA14565_R0	gene_4182
Aech_RNA5900_R0	gene_4183
Aech_RNA5906_R0	gene_4184
Mpha_RNA14406_R0	gene_4185
Sinv_RNA12501_R0	gene_4186
Cbir_RNA1127_R0	gene_4186
Aech_RNA5914_R0	gene_4187
Lhum_RNA14260_R9	gene_4188
Nvit_RNA1359_R6	gene_4189
Cbir_RNA18427_R4	gene_4189
Amel_RNA3836_R0	gene_4190
Aech_RNA5919_R0	gene_4191
Aech_RNA5918_R0	gene_4191
Cbir_RNA14769_R1	gene_4191
Sinv_RNA425_R3	gene_4191
Aech_RNA5930_R0	gene_4192
Aech_RNA5932_R0	gene_4193
Aech_RNA5939_R0	gene_4194
Aech_RNA5959_R0	gene_4195
Aech_RNA5964_R0	gene_4196
Lhum_RNA12217_R1	gene_4196
Nvit_RNA23440_R1	gene_4196
Aech_RNA5966_R0	gene_4197
Aech_RNA5971_R0	gene_4198
Aech_RNA5734_R0	gene_4199
Aech_RNA5745_R0	gene_4200
Lhum_RNA15165_R0	gene_4200
Cbir_RNA18634_R0	gene_4200
Aech_RNA5746_R0	gene_4201
Aech_RNA5748_R0	gene_4202
Sinv_RNA18876_R0	gene_4202
Aech_RNA5757_R0	gene_4203
Aech_RNA5763_R0	gene_4204
Cbir_RNA13866_R0	gene_4204
Lhum_RNA2417_R0	gene_4204
Lhum_RNA1813_R0	gene_4204
Lhum_RNA2613_R0	gene_4204
Aech_RNA5765_R0	gene_4205
Aech_RNA5766_R0	gene_4205
Dmel_RNA26894_R0	gene_4205
Aech_RNA5769_R0	gene_4206
Aech_RNA5771_R0	gene_4207
Aech_RNA5773_R0	gene_4208
Nvit_RNA15722_R0	gene_4208
Amel_RNA10698_R0	gene_4208
Aech_RNA5776_R0	gene_4209
Cbir_RNA23035_R0	gene_4209
Amel_RNA10691_R0	gene_4209
Dmel_RNA4173_R0	gene_4209
Sinv_RNA18885_R0	gene_4209
Sinv_RNA10784_R0	gene_4209
Aech_RNA5778_R0	gene_4210
Aech_RNA5780_R0	gene_4211
Aech_RNA5781_R0	gene_4211
Cbir_RNA21499_R0	gene_4211
Mpha_RNA4273_R0	gene_4211
Aech_RNA5784_R0	gene_4212
Aech_RNA5791_R0	gene_4213
Aech_RNA5797_R0	gene_4214
Aech_RNA5796_R0	gene_4214
Aech_RNA5801_R0	gene_4215
Aech_RNA5802_R0	gene_4216
Aech_RNA5805_R0	gene_4217
Aech_RNA5804_R0	gene_4217
Aech_RNA5806_R0	gene_4217
Mpha_RNA9773_R0	gene_4217
Amel_RNA994_R0	gene_4217
Cbir_RNA13903_R0	gene_4218
Dmel_RNA3094_R8	gene_4219
Aech_RNA5813_R0	gene_4220
Aech_RNA5814_R0	gene_4220
Aech_RNA12172_R2	gene_4220
Aech_RNA7734_R3	gene_4220
Amel_RNA1021_R2	gene_4220
Sinv_RNA21143_R2	gene_4220
Cbir_RNA13893_R5	gene_4220
Sinv_RNA21334_R1	gene_4220
Sinv_RNA5822_R4	gene_4220
Aech_RNA5815_R0	gene_4221
Sinv_RNA323_R0	gene_4222
Aech_RNA5821_R0	gene_4223
Sinv_RNA322_R0	gene_4224
Sinv_RNA320_R0	gene_4225
Aech_RNA5826_R0	gene_4226
Aech_RNA5829_R0	gene_4227
Aech_RNA5830_R0	gene_4228
Dqua_RNA13139_R0	gene_4228
Nvit_RNA12044_R0	gene_4228
Aech_RNA5833_R0	gene_4229
Lhum_RNA18043_R0	gene_4229
Aech_RNA5836_R0	gene_4230
Aech_RNA5848_R0	gene_4231
Aech_RNA5854_R0	gene_4232
Aech_RNA5856_R0	gene_4233
Sinv_RNA6845_R0	gene_4233
Aech_RNA5857_R0	gene_4234
Mpha_RNA4704_R0	gene_4234
Amel_RNA5269_R0	gene_4234
Amel_RNA5260_R0	gene_4234
Aech_RNA5858_R0	gene_4235
Aech_RNA5863_R0	gene_4236
Sinv_RNA6851_R0	gene_4236
Sinv_RNA1046_R0	gene_4237
Aech_RNA5876_R0	gene_4238
Dmel_RNA23813_R0	gene_4238
Aech_RNA5878_R0	gene_4239
Aech_RNA5881_R0	gene_4240
Mpha_RNA12508_R0	gene_4240
Aech_RNA5882_R0	gene_4241
Aech_RNA5885_R0	gene_4242
Mpha_RNA12502_R0	gene_4242
Sinv_RNA6867_R0	gene_4242
Cbir_RNA14170_R0	gene_4242
Aech_RNA5890_R0	gene_4243
Amel_RNA5463_R0	gene_4243
Aech_RNA5891_R0	gene_4244
Aech_RNA5896_R0	gene_4245
Amel_RNA20654_R0	gene_4245
Mpha_RNA11869_R0	gene_4245
Aech_RNA5899_R0	gene_4246
Dmel_RNA21713_R0	gene_4246
Aech_RNA5901_R0	gene_4247
Aech_RNA5903_R0	gene_4248
Aech_RNA5907_R0	gene_4249
Sinv_RNA12490_R0	gene_4249
Nvit_RNA22544_R0	gene_4249
Aech_RNA5910_R0	gene_4250
Lhum_RNA711_R7	gene_4251
Aech_RNA5920_R0	gene_4252
Mpha_RNA2282_R0	gene_4252
Aech_RNA5921_R0	gene_4253
Aech_RNA5924_R0	gene_4253
Aech_RNA5925_R0	gene_4254
Aech_RNA5926_R0	gene_4255
Sinv_RNA12520_R0	gene_4256
Aech_RNA5928_R0	gene_4257
Aech_RNA5931_R0	gene_4258
Aech_RNA5935_R0	gene_4259
Aech_RNA5937_R0	gene_4259
Aech_RNA5936_R0	gene_4259
Sinv_RNA12526_R0	gene_4259
Sinv_RNA12525_R0	gene_4259
Mpha_RNA15690_R0	gene_4260
Aech_RNA5942_R0	gene_4260
Aech_RNA5941_R0	gene_4260
Amel_RNA29197_R1	gene_4260
Aech_RNA5948_R0	gene_4261
Aech_RNA5947_R0	gene_4261
Aech_RNA5944_R0	gene_4261
Aech_RNA5946_R0	gene_4261
Aech_RNA5950_R0	gene_4261
Amel_RNA24864_R0	gene_4261
Amel_RNA24865_R0	gene_4261
Aech_RNA5956_R0	gene_4262
Aech_RNA5958_R0	gene_4262
Dqua_RNA20806_R0	gene_4262
Dmel_RNA15440_R0	gene_4262
Aech_RNA5961_R0	gene_4263
Mpha_RNA3022_R0	gene_4263
Aech_RNA5962_R0	gene_4264
Aech_RNA5967_R0	gene_4265
Aech_RNA5970_R0	gene_4266
Aech_RNA5973_R0	gene_4267
Aech_RNA5972_R0	gene_4267
Aech_RNA5979_R0	gene_4268
Aech_RNA5981_R0	gene_4269
Sinv_RNA2673_R0	gene_4269
Cbir_RNA20942_R0	gene_4269
Aech_RNA5986_R0	gene_4270
Sinv_RNA2683_R0	gene_4271
Aech_RNA5999_R0	gene_4272
Aech_RNA6003_R0	gene_4273
Mpha_RNA840_R0	gene_4273
Mpha_RNA841_R0	gene_4273
Amel_RNA6595_R0	gene_4273
Aech_RNA6006_R0	gene_4274
Aech_RNA6007_R0	gene_4275
Aech_RNA6011_R0	gene_4276
Aech_RNA6014_R0	gene_4276
Aech_RNA6015_R0	gene_4276
Mpha_RNA18304_R0	gene_4276
Nvit_RNA15149_R0	gene_4276
Mpha_RNA22675_R0	gene_4277
Sinv_RNA4029_R0	gene_4278
Aech_RNA6029_R0	gene_4279
Mpha_RNA22667_R0	gene_4279
Cbir_RNA9596_R0	gene_4279
Aech_RNA6031_R0	gene_4280
Lhum_RNA493_R0	gene_4280
Aech_RNA6033_R0	gene_4281
Aech_RNA6034_R0	gene_4281
Cbir_RNA15107_R0	gene_4281
Amel_RNA13059_R1	gene_4281
Aech_RNA6036_R0	gene_4282
Aech_RNA6052_R0	gene_4283
Aech_RNA6057_R0	gene_4284
Mpha_RNA19994_R0	gene_4284
Cbir_RNA15127_R0	gene_4284
Dmel_RNA30780_R1	gene_4284
Mpha_RNA19983_R0	gene_4285
Aech_RNA6064_R0	gene_4286
Aech_RNA6075_R0	gene_4287
Mpha_RNA21425_R0	gene_4287
Dqua_RNA18806_R0	gene_4287
Dmel_RNA5613_R0	gene_4287
Aech_RNA6085_R0	gene_4288
Aech_RNA6093_R0	gene_4289
Cbir_RNA6303_R0	gene_4289
Cbir_RNA6304_R0	gene_4289
Lhum_RNA8226_R0	gene_4290
Aech_RNA6096_R0	gene_4290
Aech_RNA6103_R0	gene_4291
Aech_RNA6108_R0	gene_4292
Aech_RNA6111_R0	gene_4293
Amel_RNA15715_R0	gene_4293
Dmel_RNA17218_R0	gene_4293
Aech_RNA6110_R0	gene_4294
Mpha_RNA5165_R0	gene_4294
Nvit_RNA11922_R0	gene_4294
Dmel_RNA1231_R2	gene_4294
Aech_RNA6113_R0	gene_4295
Aech_RNA6114_R0	gene_4295
Nvit_RNA7457_R0	gene_4295
Aech_RNA6117_R0	gene_4296
Mpha_RNA9793_R0	gene_4297
Aech_RNA6122_R0	gene_4298
Aech_RNA6133_R0	gene_4299
Dmel_RNA30563_R5	gene_4300
Aech_RNA6140_R0	gene_4301
Sinv_RNA21113_R0	gene_4301
Aech_RNA6141_R0	gene_4302
Aech_RNA6142_R0	gene_4303
Dmel_RNA10956_R0	gene_4303
Dmel_RNA10957_R0	gene_4303
Lhum_RNA13541_R0	gene_4304
Nvit_RNA25958_R1	gene_4304
Aech_RNA6150_R0	gene_4305
Aech_RNA6151_R0	gene_4306
Aech_RNA6153_R0	gene_4307
Aech_RNA6154_R0	gene_4308
Aech_RNA6155_R0	gene_4308
Aech_RNA6162_R0	gene_4309
Aech_RNA6156_R0	gene_4310
Aech_RNA6158_R0	gene_4310
Aech_RNA6167_R0	gene_4311
Dmel_RNA14747_R0	gene_4311
Aech_RNA6171_R0	gene_4312
Aech_RNA6172_R0	gene_4313
Aech_RNA6173_R0	gene_4314
Dmel_RNA5492_R0	gene_4314
Sinv_RNA1180_R0	gene_4314
Aech_RNA6174_R0	gene_4315
Amel_RNA10371_R0	gene_4315
Aech_RNA6175_R0	gene_4316
Dmel_RNA5495_R0	gene_4316
Dmel_RNA5494_R0	gene_4316
Aech_RNA6177_R0	gene_4317
Aech_RNA6179_R0	gene_4318
Aech_RNA6178_R0	gene_4318
Sinv_RNA1176_R0	gene_4318
Aech_RNA6180_R0	gene_4319
Aech_RNA5980_R0	gene_4320
Sinv_RNA2674_R0	gene_4321
Aech_RNA5985_R0	gene_4322
Lhum_RNA6434_R1	gene_4323
Aech_RNA5988_R0	gene_4324
Aech_RNA5996_R0	gene_4325
Mpha_RNA23448_R0	gene_4326
Aech_RNA5998_R0	gene_4327
Sinv_RNA2684_R0	gene_4327
Aech_RNA6000_R0	gene_4328
Aech_RNA6002_R0	gene_4328
Aech_RNA6004_R0	gene_4329
Amel_RNA6593_R0	gene_4329
Dmel_RNA28496_R0	gene_4329
Aech_RNA6009_R0	gene_4330
Aech_RNA6010_R0	gene_4330
Aech_RNA6016_R0	gene_4331
Dmel_RNA20025_R0	gene_4331
Mpha_RNA22404_R3	gene_4332
Aech_RNA6020_R0	gene_4333
Aech_RNA6021_R0	gene_4333
Nvit_RNA23732_R0	gene_4333
Nvit_RNA10545_R0	gene_4333
Aech_RNA6025_R0	gene_4334
Aech_RNA6026_R0	gene_4335
Aech_RNA6028_R0	gene_4336
Aech_RNA6032_R0	gene_4337
Aech_RNA6047_R0	gene_4338
Aech_RNA6045_R0	gene_4338
Aech_RNA6044_R0	gene_4338
Amel_RNA7344_R0	gene_4338
Amel_RNA128_R9	gene_4339
Aech_RNA6050_R0	gene_4340
Aech_RNA6051_R0	gene_4341
Aech_RNA6055_R0	gene_4342
Aech_RNA6056_R0	gene_4342
Aech_RNA6060_R0	gene_4343
Aech_RNA6059_R0	gene_4343
Cbir_RNA15132_R0	gene_4343
Mpha_RNA19987_R0	gene_4343
Aech_RNA6063_R0	gene_4344
Aech_RNA6070_R0	gene_4345
Aech_RNA6072_R0	gene_4346
Aech_RNA6071_R0	gene_4346
Lhum_RNA13469_R0	gene_4346
Dmel_RNA9068_R0	gene_4346
Aech_RNA6077_R0	gene_4347
Amel_RNA6843_R0	gene_4347
Aech_RNA6079_R0	gene_4348
Mpha_RNA21428_R0	gene_4348
Aech_RNA6084_R0	gene_4349
Aech_RNA6092_R0	gene_4350
Mpha_RNA1149_R0	gene_4350
Aech_RNA6095_R0	gene_4351
Aech_RNA6099_R0	gene_4352
Aech_RNA6100_R0	gene_4353
Aech_RNA6102_R0	gene_4354
Cbir_RNA19350_R0	gene_4354
Amel_RNA6578_R0	gene_4354
Aech_RNA6105_R0	gene_4355
Aech_RNA6104_R0	gene_4355
Aech_RNA6112_R0	gene_4356
Aech_RNA6115_R0	gene_4357
Lhum_RNA23830_R0	gene_4357
Aech_RNA6118_R0	gene_4358
Sinv_RNA12362_R0	gene_4358
Sinv_RNA12356_R0	gene_4359
Aech_RNA6124_R0	gene_4360
Aech_RNA6125_R0	gene_4361
Aech_RNA6126_R0	gene_4362
Dmel_RNA11118_R0	gene_4362
Lhum_RNA13549_R0	gene_4363
Aech_RNA6136_R0	gene_4364
Dqua_RNA16545_R0	gene_4365
Nvit_RNA25003_R0	gene_4365
Aech_RNA6139_R0	gene_4366
Sinv_RNA15203_R0	gene_4367
Aech_RNA6163_R0	gene_4368
Aech_RNA6164_R0	gene_4369
Aech_RNA6170_R0	gene_4370
Aech_RNA6176_R0	gene_4371
Aech_RNA6181_R0	gene_4372
Aech_RNA7294_R8	gene_4373
Cbir_RNA21135_R3	gene_4374
Sinv_RNA19228_R7	gene_4375
Aech_RNA3250_R6	gene_4376
Aech_RNA16153_R8	gene_4377
Mpha_RNA1027_R9	gene_4378
Sinv_RNA5390_R9	gene_4379
Mpha_RNA6749_R0	gene_4380
Aech_RNA6186_R0	gene_4381
Aech_RNA7592_R9	gene_4382
Sinv_RNA17006_R3	gene_4383
Lhum_RNA6466_R9	gene_4384
Aech_RNA6189_R0	gene_4385
Aech_RNA6192_R0	gene_4386
Lhum_RNA8368_R3	gene_4387
Sinv_RNA3368_R9	gene_4388
Nvit_RNA11988_R4	gene_4389
Aech_RNA6196_R0	gene_4390
Cbir_RNA20621_R0	gene_4390
Cbir_RNA20622_R0	gene_4390
Amel_RNA239_R0	gene_4390
Cbir_RNA20623_R0	gene_4390
Aech_RNA3549_R6	gene_4391
Aech_RNA1330_R7	gene_4392
Mpha_RNA1955_R4	gene_4393
Lhum_RNA20681_R6	gene_4394
Aech_RNA6201_R0	gene_4395
Lhum_RNA6435_R0	gene_4396
Aech_RNA6187_R0	gene_4397
Mpha_RNA19755_R0	gene_4398
Aech_RNA3617_R4	gene_4399
Lhum_RNA19048_R9	gene_4400
Sinv_RNA17006_R8	gene_4401
Dqua_RNA14085_R1	gene_4402
Aech_RNA6191_R0	gene_4403
Aech_RNA6190_R0	gene_4403
Dmel_RNA34544_R0	gene_4403
Nvit_RNA24504_R0	gene_4403
Aech_RNA6194_R0	gene_4404
Sinv_RNA6699_R0	gene_4404
Aech_RNA6198_R0	gene_4405
Aech_RNA6200_R0	gene_4406
Sinv_RNA15891_R4	gene_4407
Dqua_RNA22923_R8	gene_4408
Mpha_RNA1639_R8	gene_4409
Sinv_RNA19164_R2	gene_4410
Cbir_RNA6286_R5	gene_4411
Cbir_RNA14399_R6	gene_4412
Aech_RNA6202_R0	gene_4413
Aech_RNA6203_R0	gene_4414
Aech_RNA6205_R0	gene_4414
Aech_RNA6206_R0	gene_4414
Aech_RNA7592_R6	gene_4415
Aech_RNA6220_R0	gene_4416
Amel_RNA28407_R9	gene_4417
Dqua_RNA21829_R6	gene_4418
Aech_RNA637_R4	gene_4419
Aech_RNA13419_R5	gene_4420
Aech_RNA14458_R2	gene_4421
Dqua_RNA4765_R9	gene_4422
Mpha_RNA3119_R4	gene_4423
Cbir_RNA5992_R6	gene_4424
Aech_RNA4439_R8	gene_4425
Aech_RNA3032_R9	gene_4426
Aech_RNA6207_R0	gene_4427
Sinv_RNA19829_R3	gene_4428
Aech_RNA6209_R0	gene_4429
Lhum_RNA15138_R9	gene_4430
Aech_RNA9965_R5	gene_4431
Lhum_RNA5860_R2	gene_4432
Aech_RNA6224_R0	gene_4433
Aech_RNA6225_R0	gene_4434
Aech_RNA3705_R2	gene_4435
Aech_RNA6227_R0	gene_4436
Aech_RNA6228_R0	gene_4437
Aech_RNA6232_R0	gene_4438
Aech_RNA6233_R0	gene_4439
Aech_RNA6234_R0	gene_4440
Aech_RNA6235_R0	gene_4441
Aech_RNA6236_R0	gene_4441
Cbir_RNA10543_R0	gene_4441
Dqua_RNA12356_R0	gene_4442
Aech_RNA6239_R0	gene_4442
Aech_RNA6237_R0	gene_4442
Aech_RNA6244_R0	gene_4443
Aech_RNA6246_R0	gene_4444
Cbir_RNA10531_R0	gene_4444
Sinv_RNA20475_R0	gene_4444
Aech_RNA6251_R0	gene_4445
Nvit_RNA25703_R9	gene_4446
Aech_RNA6229_R0	gene_4447
Nvit_RNA14260_R0	gene_4447
Mpha_RNA11369_R0	gene_4447
Aech_RNA6231_R0	gene_4448
Aech_RNA6241_R0	gene_4449
Sinv_RNA20471_R0	gene_4450
Aech_RNA6243_R0	gene_4451
Aech_RNA6247_R0	gene_4452
Sinv_RNA20476_R0	gene_4452
Amel_RNA13521_R0	gene_4452
Dqua_RNA23011_R0	gene_4452
Mpha_RNA4018_R0	gene_4452
Dqua_RNA20655_R0	gene_4452
Aech_RNA6248_R0	gene_4453
Mpha_RNA2664_R0	gene_4453
Cbir_RNA14523_R3	gene_4454
Cbir_RNA20256_R7	gene_4455
Aech_RNA9971_R1	gene_4456
Aech_RNA1369_R6	gene_4457
Cbir_RNA5387_R6	gene_4458
Aech_RNA6253_R0	gene_4459
Aech_RNA6257_R0	gene_4460
Lhum_RNA15099_R8	gene_4461
Sinv_RNA18061_R2	gene_4462
Aech_RNA6266_R0	gene_4463
Aech_RNA6267_R0	gene_4464
Aech_RNA5231_R6	gene_4465
Lhum_RNA19853_R0	gene_4466
Aech_RNA6270_R0	gene_4467
Sinv_RNA9152_R0	gene_4467
Mpha_RNA2289_R0	gene_4467
Aech_RNA6275_R0	gene_4468
Aech_RNA6284_R0	gene_4469
Sinv_RNA21016_R3	gene_4469
Aech_RNA6286_R0	gene_4470
Dqua_RNA6427_R1	gene_4471
Cbir_RNA14523_R5	gene_4472
Sinv_RNA218_R8	gene_4473
Dqua_RNA3998_R9	gene_4474
Dqua_RNA4513_R9	gene_4475
Aech_RNA2349_R9	gene_4476
Aech_RNA19793_R3	gene_4477
Aech_RNA1956_R7	gene_4478
Aech_RNA6256_R0	gene_4479
Aech_RNA6258_R0	gene_4480
Mpha_RNA11977_R0	gene_4480
Mpha_RNA20189_R0	gene_4480
Aech_RNA6261_R0	gene_4481
Aech_RNA20678_R7	gene_4482
Aech_RNA7564_R5	gene_4483
Aech_RNA6269_R0	gene_4484
Aech_RNA1330_R4	gene_4485
Cbir_RNA22433_R3	gene_4486
Aech_RNA6274_R0	gene_4487
Aech_RNA6278_R0	gene_4488
Mpha_RNA18406_R1	gene_4488
Aech_RNA6280_R0	gene_4489
Dmel_RNA13822_R0	gene_4489
Aech_RNA6283_R0	gene_4490
Aech_RNA6285_R0	gene_4491
Aech_RNA6287_R0	gene_4492
Aech_RNA8423_R5	gene_4493
Aech_RNA6721_R5	gene_4494
Nvit_RNA19788_R0	gene_4495
Aech_RNA14332_R6	gene_4496
Sinv_RNA18552_R0	gene_4497
Aech_RNA6291_R0	gene_4498
Aech_RNA9926_R1	gene_4499
Sinv_RNA5806_R0	gene_4500
Lhum_RNA723_R3	gene_4501
Cbir_RNA4190_R5	gene_4502
Aech_RNA6293_R0	gene_4503
Sinv_RNA22167_R6	gene_4504
Sinv_RNA17736_R0	gene_4505
Aech_RNA5200_R7	gene_4506
Sinv_RNA15323_R6	gene_4507
Sinv_RNA3054_R2	gene_4508
Cbir_RNA20774_R8	gene_4509
Cbir_RNA16952_R7	gene_4510
Mpha_RNA1027_R3	gene_4511
Sinv_RNA20007_R4	gene_4512
Aech_RNA5129_R8	gene_4513
Aech_RNA16930_R7	gene_4514
Sinv_RNA19059_R3	gene_4515
Aech_RNA3909_R1	gene_4516
Aech_RNA6297_R0	gene_4517
Sinv_RNA19869_R5	gene_4518
Lhum_RNA2599_R0	gene_4519
Lhum_RNA5651_R2	gene_4520
Aech_RNA6294_R0	gene_4521
Aech_RNA6296_R0	gene_4522
Aech_RNA6298_R0	gene_4523
Aech_RNA21276_R2	gene_4524
Lhum_RNA9933_R0	gene_4525
Aech_RNA6303_R0	gene_4526
Sinv_RNA7824_R0	gene_4527
Aech_RNA6306_R0	gene_4528
Sinv_RNA21499_R0	gene_4528
Aech_RNA6307_R0	gene_4529
Sinv_RNA19151_R0	gene_4529
Aech_RNA6320_R0	gene_4530
Aech_RNA6334_R0	gene_4531
Cbir_RNA24168_R0	gene_4531
Mpha_RNA15781_R0	gene_4531
Mpha_RNA4481_R0	gene_4531
Aech_RNA6335_R0	gene_4532
Aech_RNA6341_R0	gene_4533
Aech_RNA6343_R0	gene_4534
Aech_RNA6348_R0	gene_4535
Aech_RNA6352_R0	gene_4536
Aech_RNA6354_R0	gene_4537
Aech_RNA6355_R0	gene_4538
Aech_RNA6356_R0	gene_4538
Lhum_RNA8598_R0	gene_4538
Cbir_RNA16419_R0	gene_4538
Dmel_RNA30092_R0	gene_4538
Aech_RNA6363_R0	gene_4539
Aech_RNA6364_R0	gene_4539
Dqua_RNA11561_R0	gene_4540
Aech_RNA6369_R0	gene_4541
Mpha_RNA17477_R0	gene_4542
Aech_RNA6372_R0	gene_4543
Aech_RNA6376_R0	gene_4544
