SINV_RNA2436_R0	gene_4
LNIG_RNA5552_R0	gene_6291
LNIG_RNA5553_R0	gene_6295
LNIG_RNA5554_R0	gene_6296
LNIG_RNA5556_R0	gene_6297
SINV_RNA1452_R0	gene_6298
AECH_RNA7463_R0	gene_6299
MPHA_RNA23736_R1	gene_6302
AMEL_RNA12109_R1	gene_6301
CBIR_RNA326_R0	gene_6303
LNIG_RNA5558_R0	gene_6300
LNIG_RNA5559_R0	gene_6304
LNIG_RNA5560_R0	gene_6305
LNIG_RNA5561_R0	gene_6306
MPHA_RNA332_R2	gene_6307
LNIG_RNA5563_R0	gene_6308
LNIG_RNA5564_R0	gene_6312
LHUM_RNA3408_R0	gene_6311
LNIG_RNA5566_R0	gene_6309
LNIG_RNA5567_R0	gene_6310
LHUM_RNA18744_R0	gene_6313
DQUA_RNA22085_R0	gene_6314
LNIG_RNA6789_R4	gene_6316
LNIG_RNA5570_R0	gene_6315
AECH_RNA8500_R0	gene_6317
SINV_RNA15938_R0	gene_6318
LNIG_RNA5572_R0	gene_6319
AMEL_RNA25567_R0	gene_6320
LNIG_RNA5575_R0	gene_6321
LNIG_RNA5576_R0	gene_6322
LNIG_RNA5577_R0	gene_6323
LNIG_RNA5578_R0	gene_6324
LNIG_RNA5579_R0	gene_6327
LNIG_RNA5580_R0	gene_6328
LNIG_RNA5581_R0	gene_6326
LNIG_RNA5582_R0	gene_6325
LNIG_RNA14612_R3	gene_6329
LNIG_RNA5583_R0	gene_6330
LNIG_RNA5584_R0	gene_6331
LNIG_RNA5585_R0	gene_6332
LNIG_RNA5586_R0	gene_6333
LNIG_RNA5587_R0	gene_6334
CBIR_RNA9993_R0	gene_6335
LNIG_RNA5590_R0	gene_6336
LNIG_RNA5591_R0	gene_6337
LNIG_RNA5592_R0	gene_6340
LNIG_RNA5593_R0	gene_6338
LNIG_RNA5594_R0	gene_6341
LNIG_RNA5595_R0	gene_6339
DQUA_RNA9554_R1	gene_6343
LNIG_RNA5596_R0	gene_6344
SINV_RNA5437_R0	gene_6345
LNIG_RNA5598_R0	gene_6342
SINV_RNA16015_R0	gene_6346
LNIG_RNA5600_R0	gene_6349
LNIG_RNA5601_R0	gene_6347
LNIG_RNA5602_R0	gene_6350
LNIG_RNA5603_R0	gene_6348
DMEL_RNA14403_R1	gene_6351
CBIR_RNA11080_R0	gene_6353
LNIG_RNA5604_R0	gene_6354
DQUA_RNA18498_R0	gene_6352
LNIG_RNA5605_R0	gene_6355
LNIG_RNA5606_R0	gene_6359
LNIG_RNA5607_R0	gene_6357
LNIG_RNA5608_R0	gene_6358
LNIG_RNA5609_R0	gene_6356
MPHA_RNA3050_R5	gene_6361
LNIG_RNA5610_R0	gene_6360
LNIG_RNA5611_R0	gene_6364
LNIG_RNA13633_R1	gene_6365
SINV_RNA17377_R6	gene_6366
LNIG_RNA5612_R0	gene_6362
LNIG_RNA5613_R0	gene_6363
LNIG_RNA5614_R0	gene_6367
LNIG_RNA5615_R0	gene_6368
MPHA_RNA20778_R0	gene_6369
MPHA_RNA20779_R0	gene_6370
LNIG_RNA5616_R0	gene_6371
LNIG_RNA5617_R0	gene_6372
LNIG_RNA5618_R0	gene_6374
LNIG_RNA5619_R0	gene_6373
LNIG_RNA5620_R0	gene_6375
LNIG_RNA5621_R0	gene_6378
LNIG_RNA5622_R0	gene_6376
MPHA_RNA4779_R0	gene_6377
SINV_RNA1409_R0	gene_6379
LNIG_RNA5625_R0	gene_6380
MPHA_RNA18058_R0	gene_6381
LNIG_RNA5627_R0	gene_6382
LNIG_RNA5628_R0	gene_6385
LNIG_RNA5629_R0	gene_6386
LNIG_RNA5630_R0	gene_6383
LNIG_RNA5631_R0	gene_6384
LNIG_RNA5632_R0	gene_6387
SINV_RNA3271_R0	gene_6391
LNIG_RNA5634_R0	gene_6388
LNIG_RNA5635_R0	gene_6392
LNIG_RNA5636_R0	gene_6389
LNIG_RNA5637_R0	gene_6393
CBIR_RNA23984_R0	gene_6390
LHUM_RNA14422_R0	gene_6395
LNIG_RNA5639_R0	gene_6394
LHUM_RNA830_R0	gene_6397
LHUM_RNA829_R0	gene_6396
LHUM_RNA828_R0	gene_6399
LHUM_RNA827_R0	gene_6398
AECH_RNA13629_R0	gene_6400
LNIG_RNA5644_R0	gene_6401
SINV_RNA16116_R0	gene_6402
DMEL_RNA11429_R0	gene_6403
MPHA_RNA9368_R0	gene_6404
SINV_RNA3226_R0	gene_6406
DQUA_RNA14215_R0	gene_6405
LHUM_RNA13225_R0	gene_6407
LHUM_RNA13223_R0	gene_6408
SINV_RNA15129_R0	gene_6411
CBIR_RNA7384_R0	gene_6409
LNIG_RNA5646_R0	gene_6410
LNIG_RNA5647_R0	gene_6412
LNIG_RNA5648_R0	gene_6413
SINV_RNA16212_R0	gene_6415
DMEL_RNA10764_R8	gene_6414
LNIG_RNA5650_R0	gene_6416
LNIG_RNA5651_R0	gene_6418
LNIG_RNA5652_R0	gene_6417
LNIG_RNA5653_R0	gene_6419
LNIG_RNA5654_R0	gene_6420
DQUA_RNA11326_R0	gene_6421
LNIG_RNA5656_R0	gene_6422
LNIG_RNA5657_R0	gene_6431
LNIG_RNA5658_R0	gene_6432
LNIG_RNA5659_R0	gene_6424
LNIG_RNA5660_R0	gene_6423
LNIG_RNA5661_R0	gene_6425
LNIG_RNA5662_R0	gene_6426
LNIG_RNA5663_R0	gene_6427
LNIG_RNA5664_R0	gene_6428
LNIG_RNA5665_R0	gene_6429
LNIG_RNA5666_R0	gene_6430
LNIG_RNA5667_R0	gene_6433
LNIG_RNA5668_R0	gene_6434
LNIG_RNA5669_R0	gene_6435
LNIG_RNA5670_R0	gene_6436
LNIG_RNA5671_R0	gene_6439
LHUM_RNA15065_R0	gene_6438
LNIG_RNA5674_R0	gene_6440
LNIG_RNA5675_R0	gene_6437
LNIG_RNA5676_R0	gene_6441
LNIG_RNA5677_R0	gene_6442
LNIG_RNA5678_R0	gene_6443
LNIG_RNA5679_R0	gene_6445
LNIG_RNA5680_R0	gene_6444
LNIG_RNA5681_R0	gene_6448
LNIG_RNA5682_R0	gene_6446
LNIG_RNA5683_R0	gene_6447
LNIG_RNA5684_R0	gene_6449
LNIG_RNA5685_R0	gene_6450
LNIG_RNA5686_R0	gene_6451
LHUM_RNA15837_R0	gene_6453
LNIG_RNA5688_R0	gene_6452
AMEL_RNA25636_R3	gene_6454
MPHA_RNA15854_R0	gene_6456
LNIG_RNA5689_R0	gene_6455
LNIG_RNA5690_R0	gene_6458
CBIR_RNA11703_R0	gene_6457
SINV_RNA877_R0	gene_6460
LNIG_RNA5692_R0	gene_6459
LHUM_RNA17347_R0	gene_6461
DMEL_RNA9797_R8	gene_6462
MPHA_RNA22564_R0	gene_6463
SINV_RNA13848_R0	gene_6464
LNIG_RNA5696_R0	gene_6466
CBIR_RNA9119_R0	gene_6465
LNIG_RNA5699_R0	gene_6467
LNIG_RNA5700_R0	gene_6469
SINV_RNA20571_R4	gene_6468
CBIR_RNA12628_R0	gene_6470
LNIG_RNA5702_R0	gene_6473
SINV_RNA15848_R0	gene_6471
AECH_RNA17883_R0	gene_6472
LNIG_RNA5704_R0	gene_6476
LNIG_RNA6699_R7	gene_6474
LNIG_RNA5705_R0	gene_6475
MPHA_RNA8189_R0	gene_6478
LNIG_RNA5707_R0	gene_6477
MPHA_RNA8173_R0	gene_6479
LHUM_RNA19723_R0	gene_6480
AECH_RNA7795_R0	gene_6482
CBIR_RNA12903_R0	gene_6481
LNIG_RNA5708_R0	gene_6483
SINV_RNA12651_R0	gene_6484
LHUM_RNA20651_R0	gene_6486
CBIR_RNA18516_R0	gene_6487
LNIG_RNA5710_R0	gene_6485
CBIR_RNA17003_R0	gene_6488
LNIG_RNA5711_R0	gene_6489
MPHA_RNA6648_R0	gene_6490
LHUM_RNA8735_R0	gene_6491
LNIG_RNA5713_R0	gene_6492
LNIG_RNA5714_R0	gene_6493
AECH_RNA2749_R0	gene_6495
LNIG_RNA5716_R0	gene_6494
LNIG_RNA5717_R0	gene_6496
LNIG_RNA5718_R0	gene_6497
LNIG_RNA5719_R0	gene_6498
LNIG_RNA5720_R0	gene_6499
LNIG_RNA5721_R0	gene_6500
LNIG_RNA5722_R0	gene_6501
LNIG_RNA5723_R0	gene_6502
SINV_RNA4520_R0	gene_6503
CBIR_RNA10673_R0	gene_6506
DQUA_RNA13647_R0	gene_6504
DQUA_RNA13645_R0	gene_6505
LNIG_RNA5727_R0	gene_6507
LNIG_RNA5728_R0	gene_6508
SINV_RNA18696_R0	gene_6509
CBIR_RNA10810_R0	gene_6512
SINV_RNA20746_R0	gene_6510
LNIG_RNA5732_R0	gene_6513
SINV_RNA20744_R0	gene_6514
CBIR_RNA22570_R0	gene_6511
LNIG_RNA5734_R0	gene_6515
LHUM_RNA4805_R0	gene_6518
MPHA_RNA18623_R0	gene_6517
LHUM_RNA4798_R0	gene_6516
CBIR_RNA19140_R0	gene_6519
CBIR_RNA19141_R0	gene_6520
LNIG_RNA5740_R0	gene_6521
LNIG_RNA5741_R0	gene_6522
LNIG_RNA5742_R0	gene_6523
CBIR_RNA10706_R0	gene_6525
AECH_RNA16564_R0	gene_6524
LNIG_RNA5744_R0	gene_6526
LNIG_RNA5745_R0	gene_6527
LNIG_RNA5746_R0	gene_6528
DQUA_RNA6259_R0	gene_6529
LHUM_RNA12472_R0	gene_6530
AMEL_RNA13755_R0	gene_6531
LNIG_RNA5749_R0	gene_6532
CBIR_RNA12520_R0	gene_6533
LNIG_RNA5751_R0	gene_6534
MPHA_RNA10897_R0	gene_6535
LHUM_RNA476_R0	gene_6538
AECH_RNA8616_R0	gene_6536
LNIG_RNA5756_R0	gene_6539
LNIG_RNA5757_R0	gene_6537
LNIG_RNA5759_R0	gene_6544
LNIG_RNA5760_R0	gene_6545
LNIG_RNA5761_R0	gene_6546
LNIG_RNA5762_R0	gene_6547
LNIG_RNA5763_R0	gene_6540
LNIG_RNA5764_R0	gene_6541
LNIG_RNA5765_R0	gene_6542
LNIG_RNA5766_R0	gene_6543
LNIG_RNA5767_R0	gene_6548
DQUA_RNA13342_R0	gene_6549
LNIG_RNA5768_R0	gene_6550
LHUM_RNA16452_R0	gene_6551
CBIR_RNA9124_R0	gene_6552
AMEL_RNA12566_R6	gene_6553
LNIG_RNA5771_R0	gene_6554
LNIG_RNA5772_R0	gene_6555
LNIG_RNA5773_R0	gene_6557
SINV_RNA15485_R0	gene_6558
LHUM_RNA12402_R0	gene_6556
AECH_RNA9770_R0	gene_6559
LNIG_RNA5775_R0	gene_6560
LNIG_RNA5776_R0	gene_6561
LHUM_RNA1992_R0	gene_6562
LNIG_RNA5778_R0	gene_6563
LHUM_RNA11007_R0	gene_6566
LHUM_RNA10999_R0	gene_6565
LNIG_RNA5780_R0	gene_6564
LNIG_RNA5781_R0	gene_6567
MPHA_RNA5880_R0	gene_6569
LNIG_RNA5782_R0	gene_6568
LNIG_RNA5783_R0	gene_6570
LNIG_RNA5784_R0	gene_6572
LNIG_RNA5785_R0	gene_6571
CBIR_RNA12617_R0	gene_6574
CBIR_RNA12619_R0	gene_6573
LNIG_RNA5788_R0	gene_6576
DQUA_RNA10023_R0	gene_6577
LNIG_RNA5789_R0	gene_6575
LNIG_RNA5790_R0	gene_6578
LNIG_RNA5791_R0	gene_6579
LNIG_RNA5792_R0	gene_6580
LNIG_RNA5793_R0	gene_6581
LNIG_RNA5794_R0	gene_6582
LHUM_RNA2898_R0	gene_6583
LNIG_RNA5797_R0	gene_6584
AECH_RNA12370_R3	gene_6585
LNIG_RNA5798_R0	gene_6586
LNIG_RNA5799_R0	gene_6587
LNIG_RNA5801_R0	gene_6588
SINV_RNA9390_R0	gene_6589
LNIG_RNA5803_R0	gene_6590
LHUM_RNA23636_R0	gene_6592
LNIG_RNA5805_R0	gene_6591
SINV_RNA13568_R0	gene_6593
DQUA_RNA10439_R1	gene_6594
LHUM_RNA18761_R0	gene_6595
LNIG_RNA5807_R1	gene_6597
SINV_RNA14762_R6	gene_6598
LNIG_RNA7845_R6	gene_6602
LNIG_RNA13168_R8	gene_6596
LNIG_RNA5807_R0	gene_6600
LNIG_RNA13869_R2	gene_6601
LNIG_RNA5810_R0	gene_6599
SINV_RNA14525_R0	gene_6603
LNIG_RNA5811_R0	gene_6605
LNIG_RNA5812_R0	gene_6604
SINV_RNA1541_R0	gene_6606
MPHA_RNA13539_R0	gene_6607
LNIG_RNA5814_R0	gene_6608
LNIG_RNA5815_R0	gene_6610
LNIG_RNA5816_R0	gene_6609
LHUM_RNA14742_R0	gene_6611
AECH_RNA1346_R0	gene_6612
LNIG_RNA5818_R0	gene_6613
AECH_RNA1673_R0	gene_6614
LNIG_RNA5820_R0	gene_6615
LNIG_RNA5821_R0	gene_6616
LNIG_RNA5822_R0	gene_6618
SINV_RNA20324_R0	gene_6617
LNIG_RNA5823_R0	gene_6619
SINV_RNA76_R0	gene_6620
LNIG_RNA5825_R0	gene_6621
LNIG_RNA5826_R0	gene_6622
MPHA_RNA7591_R0	gene_6623
LNIG_RNA5828_R0	gene_6624
LNIG_RNA5829_R0	gene_6625
LNIG_RNA7887_R3	gene_6631
LNIG_RNA10640_R4	gene_6632
LNIG_RNA5831_R0	gene_6626
LNIG_RNA5832_R0	gene_6627
LNIG_RNA5833_R0	gene_6628
LNIG_RNA5834_R0	gene_6629
LNIG_RNA5835_R0	gene_6630
LNIG_RNA5836_R0	gene_6633
LHUM_RNA11479_R0	gene_6634
LNIG_RNA5838_R0	gene_6635
LNIG_RNA5839_R0	gene_6636
LNIG_RNA5840_R0	gene_6637
LNIG_RNA5841_R0	gene_6638
LNIG_RNA5842_R0	gene_6639
LNIG_RNA5843_R0	gene_6640
LNIG_RNA5844_R0	gene_6641
LNIG_RNA5845_R0	gene_6642
LNIG_RNA5846_R0	gene_6643
LNIG_RNA5847_R0	gene_6644
DQUA_RNA4391_R0	gene_6645
LNIG_RNA5848_R0	gene_6646
CBIR_RNA3714_R0	gene_6649
MPHA_RNA8258_R0	gene_6647
MPHA_RNA8257_R0	gene_6650
LNIG_RNA5853_R0	gene_6648
LNIG_RNA5854_R0	gene_6651
LNIG_RNA5855_R0	gene_6652
MPHA_RNA20768_R1	gene_6653
SINV_RNA3509_R0	gene_6654
DMEL_RNA3364_R3	gene_6657
LNIG_RNA5857_R0	gene_6655
LNIG_RNA5858_R0	gene_6658
LNIG_RNA5859_R0	gene_6656
LHUM_RNA15626_R0	gene_6662
LNIG_RNA5860_R0	gene_6659
LNIG_RNA5861_R0	gene_6660
AMEL_RNA8304_R0	gene_6661
CBIR_RNA12748_R0	gene_6663
LNIG_RNA5862_R0	gene_6664
LNIG_RNA5863_R0	gene_6665
LNIG_RNA5864_R0	gene_6666
LNIG_RNA5865_R0	gene_6667
CBIR_RNA19679_R0	gene_6668
LHUM_RNA9118_R0	gene_6670
SINV_RNA18421_R0	gene_6669
LNIG_RNA5869_R0	gene_6671
LNIG_RNA5870_R0	gene_6672
LNIG_RNA5871_R0	gene_6673
LNIG_RNA5872_R0	gene_6674
LNIG_RNA5873_R0	gene_6676
SINV_RNA9489_R0	gene_6675
LNIG_RNA5874_R0	gene_6677
LNIG_RNA5875_R0	gene_6678
LNIG_RNA5876_R0	gene_6679
AECH_RNA10914_R1	gene_6680
AECH_RNA13292_R1	gene_6684
LNIG_RNA5877_R0	gene_6681
LNIG_RNA5878_R0	gene_6685
LNIG_RNA5879_R0	gene_6682
LNIG_RNA5880_R0	gene_6686
LNIG_RNA6669_R4	gene_6683
LNIG_RNA5885_R0	gene_6687
CBIR_RNA16608_R0	gene_6688
LNIG_RNA5888_R0	gene_6689
LNIG_RNA5889_R0	gene_6690
LNIG_RNA5890_R0	gene_6693
LNIG_RNA5891_R0	gene_6691
SINV_RNA19628_R0	gene_6692
LNIG_RNA5893_R0	gene_6694
SINV_RNA6834_R0	gene_6695
DMEL_RNA21292_R0	gene_6696
LNIG_RNA5895_R0	gene_6697
LNIG_RNA5896_R0	gene_6698
NVIT_RNA22106_R1	gene_6699
LNIG_RNA5897_R0	gene_6703
LNIG_RNA5898_R0	gene_6701
LNIG_RNA13172_R4	gene_6702
LNIG_RNA5901_R0	gene_6700
LNIG_RNA5902_R0	gene_6707
LNIG_RNA8778_R4	gene_6704
LNIG_RNA5903_R0	gene_6708
LNIG_RNA5904_R0	gene_6705
LNIG_RNA10725_R3	gene_6706
DQUA_RNA13923_R0	gene_6709
LHUM_RNA16388_R0	gene_6710
LNIG_RNA5909_R0	gene_6712
LNIG_RNA5910_R0	gene_6711
AECH_RNA7455_R0	gene_6713
LHUM_RNA20378_R0	gene_6715
LNIG_RNA5912_R0	gene_6714
LNIG_RNA5913_R0	gene_6716
LNIG_RNA6488_R1	gene_6717
LNIG_RNA5916_R0	gene_6718
LNIG_RNA5917_R0	gene_6719
LNIG_RNA5918_R0	gene_6720
LNIG_RNA5919_R0	gene_6721
SINV_RNA11752_R0	gene_6722
LNIG_RNA5921_R0	gene_6723
LNIG_RNA5922_R0	gene_6724
MPHA_RNA12504_R0	gene_6725
LNIG_RNA5923_R0	gene_6726
LNIG_RNA5924_R0	gene_6727
LNIG_RNA5925_R0	gene_6728
LHUM_RNA5145_R0	gene_6729
LNIG_RNA5928_R0	gene_6730
LNIG_RNA5929_R0	gene_6731
LNIG_RNA5930_R0	gene_6732
SINV_RNA4382_R2	gene_6733
SINV_RNA4380_R0	gene_6736
LNIG_RNA5931_R0	gene_6737
LHUM_RNA21127_R0	gene_6734
LNIG_RNA5933_R0	gene_6738
SINV_RNA4376_R0	gene_6735
LNIG_RNA5935_R0	gene_6739
CBIR_RNA5405_R0	gene_6740
SINV_RNA227_R0	gene_6741
LNIG_RNA5938_R0	gene_6743
LHUM_RNA7393_R0	gene_6742
LNIG_RNA5940_R0	gene_6744
LHUM_RNA3037_R0	gene_6745
LNIG_RNA5942_R0	gene_6746
LNIG_RNA5943_R0	gene_6747
LNIG_RNA5944_R0	gene_6749
LNIG_RNA16645_R8	gene_6748
LNIG_RNA5945_R0	gene_6750
CBIR_RNA18544_R0	gene_6751
LNIG_RNA5946_R0	gene_6752
LNIG_RNA5947_R0	gene_6753
LNIG_RNA5948_R0	gene_6754
LNIG_RNA5949_R0	gene_6755
LNIG_RNA5950_R0	gene_6756
LNIG_RNA5951_R0	gene_6757
MPHA_RNA10602_R0	gene_6759
LNIG_RNA5953_R0	gene_6758
MPHA_RNA8666_R0	gene_6762
DQUA_RNA9752_R0	gene_6760
LNIG_RNA5956_R0	gene_6761
CBIR_RNA22206_R0	gene_6763
LNIG_RNA5958_R0	gene_6764
DQUA_RNA3690_R0	gene_6768
AECH_RNA5747_R0	gene_6769
LNIG_RNA5962_R0	gene_6765
LHUM_RNA15165_R0	gene_6766
LNIG_RNA5963_R0	gene_6770
LNIG_RNA5964_R0	gene_6767
LNIG_RNA5965_R0	gene_6771
LNIG_RNA5966_R0	gene_6772
LNIG_RNA5967_R0	gene_6774
LHUM_RNA540_R3	gene_6773
MPHA_RNA15985_R1	gene_6775
AECH_RNA9690_R1	gene_6776
CBIR_RNA14296_R0	gene_6777
LNIG_RNA5970_R0	gene_6778
LNIG_RNA5971_R0	gene_6780
LNIG_RNA5972_R0	gene_6781
LNIG_RNA5973_R0	gene_6779
AECH_RNA2291_R0	gene_6782
SINV_RNA20513_R0	gene_6783
LNIG_RNA5974_R0	gene_6784
SINV_RNA20817_R0	gene_6785
LNIG_RNA5975_R0	gene_6786
MPHA_RNA17942_R0	gene_6787
DQUA_RNA605_R0	gene_6788
DQUA_RNA607_R0	gene_6789
LNIG_RNA5977_R0	gene_6790
AECH_RNA4455_R0	gene_6791
LNIG_RNA5979_R0	gene_6794
LNIG_RNA5980_R0	gene_6795
LNIG_RNA5981_R0	gene_6792
AECH_RNA1052_R0	gene_6793
LNIG_RNA5983_R0	gene_6796
LNIG_RNA5984_R0	gene_6800
MPHA_RNA8245_R0	gene_6797
LNIG_RNA5985_R0	gene_6798
LNIG_RNA5986_R0	gene_6799
LNIG_RNA5987_R0	gene_6801
LNIG_RNA5988_R0	gene_6803
DQUA_RNA22424_R0	gene_6804
LNIG_RNA5990_R0	gene_6802
LNIG_RNA5991_R0	gene_6805
LNIG_RNA5992_R0	gene_6806
CBIR_RNA16062_R0	gene_6807
LNIG_RNA5994_R0	gene_6809
LNIG_RNA5995_R0	gene_6808
MPHA_RNA10650_R0	gene_6810
MPHA_RNA3144_R4	gene_6812
LNIG_RNA5996_R0	gene_6811
AECH_RNA19241_R0	gene_6813
DQUA_RNA5121_R0	gene_6814
LNIG_RNA5999_R0	gene_6815
LNIG_RNA6000_R0	gene_6816
LNIG_RNA6001_R0	gene_6817
DQUA_RNA20373_R0	gene_6818
LNIG_RNA10714_R1	gene_6819
SINV_RNA4918_R8	gene_6825
LNIG_RNA6003_R0	gene_6824
LNIG_RNA10716_R1	gene_6826
LNIG_RNA6004_R0	gene_6820
LNIG_RNA6005_R0	gene_6823
LNIG_RNA6006_R0	gene_6822
LNIG_RNA16425_R1	gene_6821
LNIG_RNA6009_R0	gene_6827
AECH_RNA3589_R0	gene_6829
LNIG_RNA6012_R0	gene_6828
LNIG_RNA6013_R0	gene_6830
LNIG_RNA6014_R0	gene_6831
LNIG_RNA6015_R0	gene_6832
LNIG_RNA6016_R0	gene_6833
AECH_RNA3616_R0	gene_6836
LNIG_RNA6018_R0	gene_6835
SINV_RNA12152_R0	gene_6837
DMEL_RNA13755_R0	gene_6834
LNIG_RNA6020_R0	gene_6840
LNIG_RNA11427_R5	gene_6838
LNIG_RNA6021_R0	gene_6841
LNIG_RNA12552_R4	gene_6843
LNIG_RNA6022_R0	gene_6842
LNIG_RNA6023_R0	gene_6839
MPHA_RNA16113_R0	gene_6844
LHUM_RNA6989_R0	gene_6845
LHUM_RNA21043_R0	gene_6846
LNIG_RNA6027_R0	gene_6848
LNIG_RNA6028_R0	gene_6847
AECH_RNA15529_R0	gene_6852
DMEL_RNA2116_R2	gene_6849
LNIG_RNA6030_R0	gene_6850
LNIG_RNA6031_R0	gene_6851
LNIG_RNA6032_R0	gene_6853
LNIG_RNA6033_R0	gene_6854
LNIG_RNA6034_R0	gene_6855
LNIG_RNA6035_R0	gene_6856
LNIG_RNA6036_R0	gene_6859
LNIG_RNA6037_R0	gene_6857
LHUM_RNA20356_R0	gene_6858
LNIG_RNA6038_R0	gene_6860
LNIG_RNA6039_R0	gene_6861
AECH_RNA12097_R1	gene_6862
LNIG_RNA6040_R0	gene_6863
LNIG_RNA6041_R0	gene_6864
LNIG_RNA6042_R0	gene_6865
SINV_RNA20966_R1	gene_6867
LHUM_RNA23902_R3	gene_6866
LNIG_RNA13745_R4	gene_6868
LNIG_RNA6044_R0	gene_6869
LNIG_RNA6045_R0	gene_6870
MPHA_RNA9879_R0	gene_6871
LNIG_RNA6046_R0	gene_6872
LNIG_RNA6047_R0	gene_6873
LNIG_RNA6048_R0	gene_6880
LNIG_RNA6049_R0	gene_6874
LNIG_RNA6050_R0	gene_6875
LNIG_RNA6051_R0	gene_6876
LNIG_RNA6052_R0	gene_6877
LNIG_RNA6053_R0	gene_6878
LNIG_RNA6054_R0	gene_6879
LNIG_RNA6055_R0	gene_6881
LNIG_RNA6056_R0	gene_6882
AMEL_RNA28235_R0	gene_6883
CBIR_RNA1539_R0	gene_6884
LNIG_RNA6057_R0	gene_6885
LHUM_RNA19110_R0	gene_6887
LNIG_RNA6059_R0	gene_6886
LNIG_RNA6061_R0	gene_6888
LNIG_RNA6062_R0	gene_6889
LNIG_RNA6063_R0	gene_6890
LNIG_RNA6064_R0	gene_6891
CBIR_RNA1329_R0	gene_6892
LNIG_RNA6065_R0	gene_6893
SINV_RNA2209_R0	gene_6894
LNIG_RNA6066_R0	gene_6896
LNIG_RNA6067_R0	gene_6895
LNIG_RNA6068_R0	gene_6900
LNIG_RNA6069_R0	gene_6898
LNIG_RNA6070_R0	gene_6899
LNIG_RNA6071_R0	gene_6897
LNIG_RNA6072_R0	gene_6901
LNIG_RNA6073_R0	gene_6903
LNIG_RNA6074_R0	gene_6902
LNIG_RNA6075_R0	gene_6904
LNIG_RNA6076_R0	gene_6905
CBIR_RNA15435_R0	gene_6906
LHUM_RNA4880_R0	gene_6907
LHUM_RNA14615_R0	gene_6908
LNIG_RNA5107_R1	gene_6909
LNIG_RNA6082_R1	gene_6911
LNIG_RNA7615_R3	gene_6910
LNIG_RNA6083_R0	gene_6912
LNIG_RNA6084_R0	gene_6913
LHUM_RNA20374_R0	gene_6914
MPHA_RNA6084_R0	gene_6915
LNIG_RNA6085_R0	gene_6916
LNIG_RNA11806_R2	gene_6921
LNIG_RNA6089_R0	gene_6918
LNIG_RNA6090_R0	gene_6917
LNIG_RNA6091_R0	gene_6919
LNIG_RNA6092_R0	gene_6920
SINV_RNA14514_R0	gene_6922
LNIG_RNA6093_R0	gene_6923
LNIG_RNA6094_R0	gene_6924
LNIG_RNA6095_R0	gene_6926
SINV_RNA3369_R7	gene_6927
LNIG_RNA6096_R0	gene_6930
LNIG_RNA6097_R0	gene_6928
LNIG_RNA6098_R0	gene_6931
LNIG_RNA6099_R0	gene_6929
LNIG_RNA13917_R9	gene_6925
SINV_RNA19799_R0	gene_6932
LHUM_RNA12877_R0	gene_6934
LNIG_RNA6100_R0	gene_6933
AECH_RNA9990_R0	gene_6935
DQUA_RNA6996_R0	gene_6936
LNIG_RNA15951_R6	gene_6937
LNIG_RNA15952_R1	gene_6939
LNIG_RNA15951_R8	gene_6941
CBIR_RNA5077_R1	gene_6938
DMEL_RNA5449_R1	gene_6940
LNIG_RNA6102_R0	gene_6943
LNIG_RNA6103_R0	gene_6942
LNIG_RNA6104_R0	gene_6944
LNIG_RNA6105_R0	gene_6945
LNIG_RNA6106_R0	gene_6946
LNIG_RNA6107_R0	gene_6947
LNIG_RNA6108_R0	gene_6948
MPHA_RNA8863_R0	gene_6949
LNIG_RNA6112_R0	gene_6950
LNIG_RNA6113_R0	gene_6951
LNIG_RNA6114_R0	gene_6952
AECH_RNA10714_R0	gene_6953
AECH_RNA10711_R0	gene_6954
LNIG_RNA6117_R0	gene_6955
LNIG_RNA6119_R0	gene_6956
LNIG_RNA6120_R0	gene_6957
LNIG_RNA6121_R0	gene_6959
AECH_RNA692_R0	gene_6958
LNIG_RNA6123_R0	gene_6960
LNIG_RNA6124_R0	gene_6961
LNIG_RNA7194_R8	gene_6962
LNIG_RNA6125_R0	gene_6963
SINV_RNA18175_R1	gene_6964
LNIG_RNA10931_R5	gene_6965
LNIG_RNA6126_R0	gene_6966
LNIG_RNA6127_R0	gene_6967
LNIG_RNA6128_R0	gene_6968
LNIG_RNA6129_R0	gene_6969
SINV_RNA447_R0	gene_6970
SINV_RNA7920_R2	gene_6971
CBIR_RNA23223_R3	gene_6974
CBIR_RNA22546_R0	gene_6972
DMEL_RNA13579_R0	gene_6973
LHUM_RNA13183_R0	gene_6975
LNIG_RNA6131_R1	gene_6976
AECH_RNA6639_R0	gene_6980
LHUM_RNA11293_R0	gene_6977
LHUM_RNA11292_R0	gene_6981
LNIG_RNA6137_R0	gene_6978
LNIG_RNA6138_R0	gene_6982
LNIG_RNA6139_R0	gene_6979
DMEL_RNA16550_R0	gene_6983
LNIG_RNA6140_R0	gene_6985
LNIG_RNA6141_R0	gene_6984
LNIG_RNA6142_R0	gene_6986
MPHA_RNA17557_R1	gene_6987
LNIG_RNA6143_R0	gene_6988
LNIG_RNA6145_R0	gene_6989
DMEL_RNA28364_R0	gene_6990
LNIG_RNA6146_R0	gene_6992
AECH_RNA12837_R0	gene_6991
LNIG_RNA6148_R0	gene_6993
LNIG_RNA6149_R0	gene_6994
SINV_RNA971_R6	gene_6995
CBIR_RNA9727_R0	gene_6996
LNIG_RNA6151_R0	gene_6997
